"","ID","ZIP.Code","Community.Area","Primary.Property.Type","Gross.Floor.Area...Buildings..sq.ft.","Year.Built","X..of.Buildings","ENERGY.STAR.Score","Electricity.Use..kBtu.","Natural.Gas.Use..kBtu.","Site.EUI..kBtu.sq.ft.","Source.EUI..kBtu.sq.ft.","Weather.Normalized.Site.EUI..kBtu.sq.ft.","Weather.Normalized.Source.EUI..kBtu.sq.ft.","Total.GHG.Emissions..Metric.Tons.CO2e.","GHG.Intensity..kg.CO2e.sq.ft.","total_site_energy_KBTU","log_total_site_energy_KBTU"
"188",252058,"60637","WOODLAWN","Performing Arts",188821,2011,1,90,7033735.6,627971.6,174.5,272.5,168.2,266.3,2895.4,15.3,32949264.5,17.3104794969641
"189",252057,"60637","HYDE PARK","Office",181231,1929,3,98,4268081,3589408.5,84.9,147.7,91.3,155.4,1524.9,8.4,15386511.9,16.5490018329532
"190",252056,"60637","HYDE PARK","Office",102569,1893,2,56,2295281.1,8804160.8,54.7,109.1,57.4,112.4,642.9,6.3,5610524.3,15.5401547312425
"191",252054,"60637","HYDE PARK","College/University",341130,1928,9,59,17599293.9,1625340.1,149,277.7,154.2,284,5410.9,15.9,50828370,17.7439652212323
"192",252053,"60637","HYDE PARK","Laboratory",59841,1894,1,43,2997264.6,7038255,271,407.2,272.6,410.9,1366.2,22.8,16216911,16.6015651446184
"193",252052,"60637","HYDE PARK","College/University",135318,1930,2,19,4138609.3,5488.3,70.2,143.7,74.9,148.6,1119.1,8.3,9499323.6,16.0667311540359
"194",252051,"60616","NEAR SOUTH SIDE","Multifamily Housing",89356,2007,1,35,3501428.5,6661322.5,113.7,201.3,120.5,204.4,999.2,11.2,10159777.2,16.1339470707403
"195",252050,"60637","HYDE PARK","Laboratory",72388,1929,1,37,6209638.7,9194083.9,215.1,424.9,219,424.8,1766.1,24.4,15570658.8,16.5608988550538
"196",252049,"60637","HYDE PARK","College/University",300621,1892,8,65,14433220.6,5920,130.7,247.6,134.9,252.8,4256.7,14.2,39291164.7,17.4865102347705
"197",252048,"60637","HYDE PARK","Office",90125,1949,1,55,3095278.7,1629721.1,124.6,213.3,129.4,219.3,1091.4,12.1,11229575,16.2340614809406
"198",252047,"60637","HYDE PARK","College/University",153115,2013,1,41,4879105.4,4032658.1,113.8,191,114.1,192.1,1654,10.8,17424487,16.6733870737184
"199",252046,"60637","HYDE PARK","Fitness Center/Health Club/Gym",146501,1932,1,97,3110376.1,130040,66,120.3,70.7,126.1,1006.7,6.9,9669066,16.084442275381
"200",252045,"60637","HYDE PARK","Social/Meeting Hall",192035,1912,2,76,4717956.6,5738931,67.6,126.3,69.7,129,1384.7,7.2,12981566,16.3790409091124
"201",252044,"60637","WOODLAWN","College/University",332861,1959,4,40,14772980.8,35260,147.5,257.6,151.7,263.3,4872.4,14.6,49096997.5,17.7093084401821
"202",252043,"60637","WOODLAWN","Residence Hall/Dormitory",338679,2009,1,25,12771760.9,557930,140.6,235.5,144.2,240.3,4512.6,13.3,47618267.4,17.6787270144888
"203",252042,"60637","WOODLAWN","Office",59741,1966,1,57,2328933.3,3177317,113.4,208.3,115.7,211.5,709.7,11.9,6774629.4,15.7286952221269
"204",252041,"60637","HYDE PARK","Retail Store",50162,1902,1,27,2993071.9,9442064.9,119.4,259.3,124.1,262,750.7,15,5989342.8,15.6054922478787
"205",252040,"60637","HYDE PARK","College/University",59287,1985,1,59,1673644.3,14792982.6,113.4,186.1,115,188.6,623.9,10.5,6723145.8,15.721066727963
"206",252039,"60637","HYDE PARK","Laboratory",90986,1949,2,37,13963511.1,7246464,291.8,648.3,294.4,648.8,3409.2,37.5,26549714.8,17.0945295635983
"207",252038,"60637","HYDE PARK","Library",168656,1984,1,42,4920503.2,4706973.4,86.4,154.7,86.4,155.3,1482.3,8.8,14571878.4,16.494604092305
"208",252037,"60637","HYDE PARK","Fitness Center/Health Club/Gym",168984,2003,1,9,10994279.5,6059147.4,245.2,409.5,241.1,405.8,3916.4,23.2,41434876.8,17.5396335189291
"209",252036,"60637","HYDE PARK","Residence Hall/Dormitory",299490,2001,2,40,11866250.2,2029490,145.6,244.4,146.7,247,4137.6,13.8,43605744,17.5906994427612
"210",252035,"60611","NEAR NORTH SIDE","Multifamily Housing",490146,1998,1,10,26377192.8,2797347.2,59.5,175,62.2,182.9,5010.5,10.2,29163687,17.188434897441
"211",252034,"60622","WEST TOWN","Senior Care Community",75000,1925,1,21,2214523.8,10490100.2,169.4,239.6,169.3,237.6,965.4,12.9,12705000,16.3575061747364
"212",252033,"60622","WEST TOWN","K-12 School",58856,2013,1,89,1472123.4,1409724,49,103.7,52.6,107.5,346.2,5.9,2883944,14.8746693597227
"213",252031,"60611","NEAR NORTH SIDE","Hotel",177137,1987,1,61,6564288.8,11732800,103.3,185.9,108,189.5,1833.1,10.3,18298252.1,16.7223160995887
"214",252030,"60611","NEAR NORTH SIDE","Hotel",95526,1990,1,22,4953500.7,11010300.3,167.1,283.8,171.2,285.9,1497.8,15.7,15962394.6,16.5857461763254
