"","carto_id","h2o_indoorallsources_KGAL","energy_star_score","property_gfa_self_reported_SF","property_id","department","property_name","ghg_emissions_indirect_MTCO2e","ghg_emissions_direct_MTCO2e","total_ghg_emissions_intensity_KGCO2eSF","total_ghg_emissions_MTCO2e","h2o_allsources_KGAL","weather_norm_source_eui_KBTUSF","weather_norm_site_eui_KBTUSF","source_eui_KBTUSF","site_eui_KBTUSF","total_site_energy_KBTU","log_total_site_energy_KBTU"
"46",49,0,0,9175,3935303,"Fire","Fire Department: 5/26  Fire Station #26",33.6,13.4,5.1,47,399,158.8,69.2,161.3,69.7,639497.5,13.36843799
"47",50,0,0,21272,3935304,"Fire","Fire Department: 5/84  Fire Station #84",97,17.5,7.5,114.6,422.7,245.2,96,252.5,94.8,2016585.6,14.51691634
"48",51,0,0,9354,3935305,"Fire","Fire Department: 5/20  Fire Station #20",30.7,14.1,4.8,44.8,269.6,144.2,66.1,148.5,66.2,619234.8,13.3362398
"49",52,0,0,9800,3935306,"Fire","Fire Department: 5/96  Fire Station #96",32.8,14.5,7,47.3,363.6,213.4,101.5,216.8,95.8,938840,13.75240035
"50",53,0,0,15339,3935307,"Fire","Fire Department: 5/13 Fire Station #13",56.2,14.2,4.6,70.4,262.9,148.5,58.9,150.9,59.7,915738.3,13.7274859
"51",54,0,0,9310,3935308,"Fire","Fire Department: 5/50  Fire Station #50",32.1,13.6,5.7,45.7,370.7,174.2,78.3,177.3,77.6,722456,13.4904118
"52",55,0,0,9800,3935309,"Fire","Fire Department: 5/76  Fire Station #76",12.3,9.2,5.9,21.5,564.4,181.4,99.2,171.3,86.2,844760,13.64680784
"53",56,0,0,12932,3935310,"Fire","Fire Department: 5/40  Fire Station #40",46.3,7.9,4.2,54.2,671.1,142.8,53.9,141.7,52.8,682809.6,13.43397133
"54",57,0,0,11188,3935311,"Fire","Fire Department: 5/14  Fire Station #14",27,14.5,3.8,41.4,354,113.1,53.8,115.8,53.5,598558,13.30227871
"55",58,0,0,10365,3935312,"Fire","Fire Department: 5/43A  Fire Station #43A",40.6,10.3,4.9,50.9,303.5,153.9,63.6,161.4,63.9,662323.5,13.40350939
"56",59,0,0,9161,3935313,"Fire","Fire Department: 5/29  Fire Station #29",4.6,0,0.5,4.6,760.2,18.1,5.8,18.1,5.8,53133.8,10.88056854
"57",60,0,0,15290,3935314,"Fire","Fire Department: 5/78  Fire Station #78",50.1,16.9,4.4,67,934.5,134.2,58.1,140.4,58.6,895994,13.705689
"58",61,0,0,14285,3935315,"Fire","Fire Department: 5/9  Fire Station #9",31.4,19.9,3.6,51.3,543.6,110.5,55.9,107.1,51.6,737106,13.51048699
"59",62,0,0,13915,3935316,"Fire","Fire Department: 5/112  Fire Station #112",90.6,0,6.5,90.6,0,235.6,75,235.6,75,1043625,13.85821079
"60",63,0,0,10568,3935317,"Fire","Fire Department: 5/94  Fire Station #94",65.1,25.5,11.2,90.6,613.3,342.7,158.5,352.5,151.6,1602108.8,14.28683132
"61",64,0,0,34858,3935318,"Fire","Fire Department: 5/4A  Fire Station #4A",203.3,40.5,7.8,243.8,1164,0,0,261.1,99.4,3464885.2,15.05819006
"62",65,0,0,17372,3935320,"Fire","Fire Department: 5/47  Fire Station #47",34.9,15.4,4.4,50.4,500.1,136.7,62.8,137.6,60.8,1056217.6,13.87020478
"63",66,0,0,15250,3935321,"Fire","Fire Department: 5/83  Fire Station #83",47.2,13.9,4,61.1,304.5,122.6,54.9,130,52.9,806725,13.60073812
"64",67,0,0,11550,3935322,"Fire","Fire Department: 5/88  Fire Station #88",194.3,46.4,20.8,240.7,1213.5,701.6,295.8,688.3,269.5,3112725,14.95100911
"65",68,0,0,15105,3935323,"Fire","Fire Department: 5/67  Fire Station #67",49,9.3,3.9,58.3,165,127.5,51.3,129.6,49,740145,13.51460139
"66",69,0,0,16772,3935324,"Fire","Fire Department: 5/60Fire   Station #60",40.7,28,4.1,68.6,652.5,120.2,62.3,120.7,59.3,994579.6,13.81007541
"67",70,0,0,32600,3935325,"Fire","Fire Department: 5/82A  Fire Station #82A",89.1,49.9,4.3,139,330.9,127.6,59.8,129.1,60.3,1965780,14.49139967
