"","reported","property_type","gross_area_SF","year_built","h2o_intensity_GALSF","zip","property_uses","site_eui_KBTUSF","energy_star_score","ghg_emissions_MTCO2e","ghg_intens_KGCO2SF","total_site_energy_KBTU","log_total_site_energy_KBTU","electricity_percentage","gas_percentage"
"935","Municipal ","K-12 School",29448,1896,36.5,"02125","K-12 School",41.1,100,1896,2.4,1208840.7,14.005172359129,19,81
"937","Yes","Multifamily Housing",115152,2008,37.5,"02125","Multifamily Housing, Parking",67.6,79,2008,4.3,7787051.3,15.8679728224403,30.8,69.2
"938","Yes","Multifamily Housing",41632,2005,43.9,"02125","Multifamily Housing",66.1,73,2005,4.3,2750014.2,14.8271166332658,35.2,64.8
"940","Yes","Multifamily Housing",2155289,1989,17.5,"02125","Multifamily Housing, Parking, Retail Store",36.5,100,1989,2.1,78848697.6,18.1830413537987,17.9,82.1
"941","Yes","Multifamily Housing",171300,2006,44.1,"02125","Multifamily Housing, Parking, Swimming Pool",101.5,39,2006,6.2,17387995.1,16.6712905892872,23.7,76.3
"942","Yes","Multifamily Housing",26444,1920,48.3,"02125","Multifamily Housing",55.7,89,1920,3.4,1472423.5,14.2024202406965,23.4,76.6
"944","Yes","Multifamily Housing",31548,1920,45.2,"02125","Multifamily Housing",59,96,1920,3.4,1862364.3,14.4373573675211,16.4,83.6
"945","Yes","Retail Store",132000,1998,10.4,"02125","Parking, Retail Store",59.5,78,1998,4.5,7848385.1,15.8758183488502,67.8,32.2
"946","Municipal ","Urgent Care/Clinic/Other Outpatient",13600,2000,44.1,"02125","Urgent Care/Clinic/Other Outpatient",100.8,NA,2000,5.8,1370434.8,14.1306386197152,13.8,86.2
"947","Yes","Multifamily Housing",25701,2015,27.4,"02125","Multifamily Housing",21.1,98,2015,1.8,541943,13.2029161088398,97.1,2.9
"948","Yes","Multifamily Housing",60483,2015,28,"02125","Multifamily Housing, Parking",30.9,100,2015,2,1869818.9,14.4413521392212,35.2,64.8
"949","Yes","Multifamily Housing",60843,2015,26.7,"02125","Multifamily Housing",39.8,89,2015,2.8,2424545.4,14.7011546008626,49.4,50.6
"950","Municipal ","Performing Arts",34876,2000,1.5,"02125","Other",308.4,NA,2000,19.3,5550526.2,15.5294032920392,29.1,70.9
"952","Yes","Multifamily Housing",60348,2005,39.2,"02125","Multifamily Housing",51,53,2005,3.4,3074732.8,14.9387285611383,45,55
"953","Voluntary","Multifamily Housing",222565,1899,35.4,"02125","Multifamily Housing, Parking",94.9,45,1899,5.5,21121453.9,16.8657998543951,15.4,84.6
"955","Municipal ","Fire Station",12000,2000,13.1,"02125","Fire Station",74.8,NA,2000,4.4,898021.5,13.7079492890913,16.8,83.2
"959","Municipal ","K-12 School",31410,1909,6,"02125","K-12 School",58.6,94,1909,3.5,1840297.1,14.425437583942,20.2,79.8
"960","Yes","Manufacturing/Industrial Plant",45565,1910,0.9,"02125","Manufacturing/Industrial Plant",74.9,NA,1910,5.1,3411679.2,15.0427151620715,22.1,38.8
"961","Yes","Multifamily Housing",40320,1900,17.6,"02125","Multifamily Housing",64,88,1900,3.8,2580420.8,14.7634630443735,21.3,78.7
"962","Municipal ","K-12 School",53585,1903,57.2,"02125","K-12 School",72.7,87,1903,4.2,3897821.6,15.1759283909423,13,87
"963","Yes","Manufacturing/Industrial Plant",45000,1937,259.7,"02125","Manufacturing/Industrial Plant",56.7,NA,1937,4.8,2550482.5,14.7517931149219,100,NA
"964","Yes","K-12 School",60000,2008,7,"02125","K-12 School",49,36,2008,3.1,2937268.6,14.8929906598636,39.8,60.2
"965","Yes","Strip Mall",297294,2005,49.1,"02125","Parking, Strip Mall",122.8,NA,2005,9.3,36514759.8,17.4132271148961,74.5,22.6
"967","Yes","Multifamily Housing",74185,1977,54.2,"02125","Multifamily Housing",92.3,33,1977,5.8,6843757.8,15.7388475247064,31.2,68.8
"968","Yes","Manufacturing/Industrial Plant",56250,1945,2.9,"02125","Manufacturing/Industrial Plant",46.7,NA,1945,3,2627869.2,14.7816838856585,31.5,68.5
"970","Municipal ","K-12 School",171035,1977,31.1,"02126","K-12 School, Swimming Pool",84,66,1977,5,14372527.5,16.480829129854,19.1,80.9
"971","Municipal ","K-12 School",51389,1931,18.6,"02126","K-12 School",45.4,97,1931,2.8,2334237.1,14.6631956719306,23.6,76.4
"972","Municipal ","K-12 School",36820,1998,68.5,"02126","K-12 School",72.6,67,1998,4.7,2672452,14.7985069610091,36.6,63.4
"973","Municipal ","Library",21000,2000,5.2,"02126","Library",145.7,NA,2000,9.4,3060696.2,14.9341529643905,35.1,64.9
"974","Yes","Multifamily Housing",29416,1930,70,"02126","Multifamily Housing",46.1,100,1930,2.4,1356327.5,14.1202912374955,NA,100
"975","Yes","Multifamily Housing",287748,1968,62.1,"02126","Multifamily Housing, Parking",68.7,98,1968,5.1,19769059,16.7996285966443,4.7,NA
"976","Municipal ","K-12 School",48697,1931,6.8,"02126","K-12 School",47.4,98,1931,2.8,2310503.1,14.6529758509925,17.7,82.3
"977","Yes","Retail Store",20701,1935,35.6,"02126","Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc.)",5.8,NA,1935,0.5,119689.5,11.6926561684003,100,NA
"978","Municipal ","K-12 School",120944,1930,49.1,"02126","K-12 School",47.3,94,1930,2.9,5718320.1,15.5591856314098,23.4,76.6
"979","Yes","Police Station",3115,2000,82.3,"02126","Police Station",70.7,NA,2000,4.3,220134,12.301991730823,23.4,76.6
"980","Yes","Multifamily Housing",125000,1900,40.3,"02126","Multifamily Housing",80.9,1,1900,5.9,10107165.5,16.1287551857125,62.7,37.3
"981","Voluntary","Multifamily Housing",47028,1915,69.5,"02126","Multifamily Housing, Parking",48.5,64,1915,3.6,2280107.6,14.6397331927995,65.8,34.2
"982","Municipal ","Office",2400,2000,80.6,"02126","Office",25.3,NA,2000,2.2,60698.3,11.0136709700656,100,NA
"983","Municipal ","Repair Services (Vehicle, Shoe, Locksmith, etc.)",7700,2000,19.7,"02126","Repair Services (Vehicle, Shoe, Locksmith, etc.)",7.3,NA,2000,0.6,45000,10.7144177687525,100,NA
"984","Yes","Multifamily Housing",49627,2012,50.5,"02126","Multifamily Housing, Parking",41.6,100,2012,2.4,2064627.7,14.5404604775661,17.2,82.8
"985","Yes","Multifamily Housing",53065,2008,45.8,"02126","Multifamily Housing, Parking",8.4,NA,2008,0.7,445470.7,13.006886754931,100,NA
"986","Yes","Multifamily Housing",29920,1965,45.8,"02126","Multifamily Housing, Parking",39.5,100,1965,2.1,1183335.3,13.9838475347539,2.6,97.4
"987","Yes","Multifamily Housing",15936,1963,162.5,"02126","Multifamily Housing, Parking",50,NA,1963,2.7,797171.3,13.5888248656692,4.9,95.1
"988","Yes","Multifamily Housing",33324,1969,53.3,"02126","Multifamily Housing",94.6,28,1969,5.6,3152393.7,14.9636726269823,18.2,81.8
"989","Yes","Multifamily Housing",52970,1996,36.2,"02126","Multifamily Housing",58.3,56,1996,3.6,3087155.7,14.9427607395302,27,73
"990","Municipal ","Social/Meeting Hall",10400,2000,42,"02126","Other - Recreation",90.8,NA,2000,5.6,944029,13.7579121649948,26.6,73.4
"991","Yes","Multifamily Housing",26000,2008,53.8,"02126","Multifamily Housing",81.1,49,2008,5.1,2109470.8,14.561947668308,31.9,68.1
"992","Yes","Multifamily Housing",366000,1962,3.5,"02126","Multifamily Housing",9.3,100,1962,0.8,3393490,15.0373694483115,100,NA
"994","Yes","Non-Refrigerated Warehouse",50700,2000,0.5,"02126","Non-Refrigerated Warehouse",25.5,87,2000,1.6,1292681.2,14.0722290689621,27,73
"996","Yes","Strip Mall",62000,1980,19.2,"02126","Parking, Strip Mall",6,NA,1980,0.5,371254.9,12.8246441676651,97.2,2.8
"998","Yes","Office",55000,1900,3.7,"02127","Office",21.9,99,1900,1.6,1205964.2,14.0027899709199,93.2,6.8
"999","Yes","Multifamily Housing",108163,2013,23.3,"02127","Multifamily Housing, Other - Restaurant/Bar, Parking",14.4,100,2013,0.9,1561925,14.2614295928641,33.7,66.3
"1000","Yes","Office",40000,1900,4.8,"02127","Office",112.2,59,1900,6.7,4488874.1,15.3171124710353,29,71
"1001","Municipal ","Social/Meeting Hall",47520,2000,3.8,"02127","Other - Recreation",194.7,NA,2000,11.6,9252244.5,16.0403767287028,20.4,79.6
"1003","Yes","Multifamily Housing",46807,1968,37.4,"02127","Multifamily Housing",132.8,46,1968,8.5,6215967.4,15.6426319264856,5.3,52.6
"1004","Yes","Senior Care Community",201858,1964,28.8,"02127","Senior Care Community",126.8,30,1964,7.7,25595318.1,17.0579200060052,23.8,76.2
"1005","Yes","Multifamily Housing",41739,1975,43.2,"02127","Multifamily Housing",60.1,80,1975,3.7,2510015.4,14.7357994465473,27.4,72.6
"1006","Yes","Senior Care Community",28725,1963,72.2,"02127","Senior Care Community",94.9,86,1963,6.1,2727087.2,14.8187446378475,35.2,64.8
"1007","Yes","Office",36000,1900,4.8,"02127","Office",92.9,60,1900,5.8,3344927.6,15.0229556070651,40.6,59.4
"1008","Yes","Multifamily Housing",60000,1989,38.7,"02127","Multifamily Housing",42.2,96,1989,2.8,2534003.3,14.7453109421512,40.4,59.6
"1009","Yes","Non-Refrigerated Warehouse",42800,1975,0.6,"02127","Non-Refrigerated Warehouse",63.6,32,1975,4.2,2721812.7,14.8168086501273,40.5,59.5
"1010","Yes","Other",60000,1981,40.5,"02127","Other",127.2,NA,1981,10.4,7615267.6,15.8456656848627,64.2,NA
"1011","Municipal ","K-12 School",108387,1936,11.6,"02127","K-12 School",44.2,97,1936,2.6,4785825.6,15.381169107171,21.3,78.7
"1012","Yes","Office",26215,1900,5.8,"02127","Office",133.3,57,1900,7.5,3494380.8,15.0666667505721,14.9,85.1
"1013","Municipal ","K-12 School",140426,1975,6.8,"02127","K-12 School, Swimming Pool",101.1,40,1975,6.2,14199869.9,16.4687433605577,24.2,75.8
"1014","Yes","Multifamily Housing",40675,2015,29.4,"02127","Multifamily Housing, Parking",122.1,1,2015,7.9,4965591.4,15.4180429621645,35.2,64.9
"1016","Yes","Multifamily Housing",61678,2012,58.9,"02127","Multifamily Housing",67,62,2012,4.5,4132831.5,15.2344733232459,41.9,58.1
"1017","Municipal ","Fire Station",15640,2000,7.1,"02127","Fire Station",97.5,NA,2000,6.2,1525395.9,14.2377645408891,32.1,67.9
"1019","Yes","Mixed Use Property",115650,1848,3.8,"02127","Manufacturing/Industrial Plant, Office, Parking, Restaurant",37,96,1848,2.6,3194008.8,14.9767873629192,57.2,42.8
"1022","Yes","Multifamily Housing",39073,1987,34.2,"02127","Multifamily Housing",90.7,15,1987,6.1,3542740.9,15.0804112510578,44.3,55.7
"1024","Yes","Self-Storage Facility",67430,1985,24.8,"02127","Self-Storage Facility",26.4,NA,1985,1.9,1777371.4,14.3906460892377,39,29.5
"1025","Yes","Office",98882,1947,1.8,"02127","Other - Services",80.8,NA,1947,5.5,7984784,15.8930482885453,47.1,52.9
"1026","Yes","Medical Office",40000,1885,8.3,"02127","Medical Office",136.9,12,1885,9.8,5474676.3,15.5156437086313,57.1,42.9
"1027","Yes","Office",53500,1901,2.6,"02127","Office",3,NA,1901,0.3,160713.2,11.987376688987,100,NA
"1028","Yes","Non-Refrigerated Warehouse",80000,1930,2.4,"02127","Non-Refrigerated Warehouse, Office, Parking",60.9,NA,1930,4.3,4868280,15.3982512499235,54.8,45.2
"1029","Municipal ","K-12 School",28407,1926,13.4,"02127","K-12 School",60.8,93,1926,3.6,1726378,14.361536130124,20.3,79.7
"1030","Yes","Multifamily Housing",200755,2008,17.3,"02127","Multifamily Housing, Parking",38.4,96,2008,2.5,7714644.8,15.8586310025381,53.3,46.7
"1031","Yes","Mixed Use Property",110000,1819,9.4,"02127","Other",10.3,NA,1819,0.9,1128065.2,13.9360145107881,100,NA
"1032","Yes","Non-Refrigerated Warehouse",13403,1900,5.3,"02127","Non-Refrigerated Warehouse",32.7,15,1900,2.5,438536.1,12.9911974135175,99.6,0.4
"1033","Yes","Other - Services",40687,1920,29.7,"02127","Repair Services (Vehicle, Shoe, Locksmith, etc.)",263.8,NA,1920,15.2,10731964.3,16.1887371640219,19.9,80.1
"1034","Yes","Office",222018,1900,6.6,"02127","Office",73.8,NA,1900,4.7,16379049.5,16.6115136066225,36.3,52.3
"1035","Yes","Office",40000,1900,14.1,"02127","Office",78.1,83,1900,5.8,3122348.3,14.9540959369354,33.6,6.3
"1037","Municipal ","Library",10800,2000,30.7,"02127","Library",67.9,NA,2000,4.5,733729.9,13.5058962562228,40,60
"1038","Municipal ","K-12 School",120000,1972,0,"02127","K-12 School",69.2,75,1972,4.2,8301788,15.9319814712537,21.4,78.6
"1039","Municipal ","Fire Station",14040,2000,14.7,"02127","Fire Station",93.3,NA,2000,5.7,1310067.4,14.0855891442355,23.1,76.9
"1040","Voluntary","Supermarket/Grocery Store",18358,2005,170.2,"02127","Supermarket/Grocery Store",307.4,49,2005,22.5,5642679.2,15.5458695461416,62.2,37.8
"1041","Yes","Office",4200,1900,5.4,"02127","Office",35.2,NA,1900,2.3,147746,11.9032498621438,46.5,53.5
"1042","Yes","Multifamily Housing",30000,1967,31,"02127","Multifamily Housing",60.6,100,1967,3.2,1819014.4,14.4138053739065,0.2,99.8
"1043","Yes","Multifamily Housing",33000,1967,34,"02127","Multifamily Housing",36.4,100,1967,2,1199976.1,13.9978121978932,2.4,97.6
"1044","Municipal ","K-12 School",38774,1904,32.1,"02127","K-12 School",52.7,97,1904,3.1,2042853.4,14.5298581140053,17,83
"1045","Yes","Multifamily Housing",33000,1967,31.7,"02127","Multifamily Housing",31.8,100,1967,1.7,1048545.8,13.8629148098198,0.7,99.3
"1046","Yes","Office",7200,1900,11.7,"02127","Office",18.9,100,1900,1.3,136272.4,11.8224111026824,62.4,37.6
"1047","Yes","Office",36000,1986,6,"02127","Office",50.6,82,1986,3.9,1822067.8,14.4154825679648,76.8,23.2
"1048","Yes","Multifamily Housing",33000,1967,32.3,"02127","Multifamily Housing",33.3,100,1967,1.8,1099741.4,13.9105856192213,4.6,95.4
"1049","Municipal ","K-12 School",160270,1901,72.4,"02127","K-12 School",51.3,90,1901,3.1,8225417.9,15.9227396618356,22.6,77.4
"1052","Municipal ","Fire Station",6844,2000,17.3,"02128","Fire Station",139.7,NA,2000,8.4,955969.1,13.7704808693354,21.8,78.2
"1053","Yes","Urgent Care/Clinic/Other Outpatient",57458,1978,30.4,"02128","Urgent Care/Clinic/Other Outpatient",119.8,NA,1978,8.9,6884183.5,15.7447370919722,66.4,33.6
"1054","Yes","Senior Care Community",45216,1900,31.8,"02128","Parking, Senior Care Community",60.9,52,1900,3.9,2753042.3,14.828217149063,34.4,65.6
"1055","Voluntary","Hotel",211000,1993,83.3,"02128","Hotel, Parking",112.9,3,1993,8.3,23823996.3,16.9862038786003,62,38
"1056","Municipal ","K-12 School",33128,1958,78.4,"02128","K-12 School",51.4,96,1958,3.1,1701586.7,14.3470717266646,24.4,75.6
"1058","Municipal ","Social/Meeting Hall",26704,2000,0.6,"02128","Other - Recreation",33.8,NA,2000,1.9,901477.3,13.7117901410534,12.5,87.5
"1059","Municipal ","Swimming Pool",24896,2000,19.1,"02128","Fitness Center/Health Club/Gym",143.7,NA,2000,8.5,3576820.4,15.0899848073077,18.9,81.1
"1060","Yes","Manufacturing/Industrial Plant",70000,1954,4.3,"02128","Manufacturing/Industrial Plant",39.4,NA,1954,3.4,2755764.8,14.8292055663999,100,NA
"1061","Yes","Multifamily Housing",50000,1900,57.1,"02128","Multifamily Housing",113.5,4,1900,7.1,5676661.2,15.5518738009638,29.2,70.8
"1062","Municipal ","K-12 School",79082,1926,46.7,"02128","K-12 School",37.2,97,1926,2.4,2942915.1,14.8949111786853,36.9,63.1
"1063","Yes","Residence Hall/Dormitory",141016,1900,12.2,"02128","Parking, Residence Hall/Dormitory",41.8,89,1900,2.8,5901066.6,15.5906436721983,43.3,56.7
"1064","Municipal ","K-12 School",36400,1998,18.5,"02128","K-12 School",66.6,73,1998,4.4,2423469.8,14.7007108728736,38.6,61.4
"1065","Municipal ","Other - Stadium",112500,2000,8.8,"02128","Other",7.8,NA,2000,0.7,879362,13.6869519235148,100,NA
"1066","Yes","Mixed Use Property",405215,1910,4.7,"02128","Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office, Other, Parking, Worship Facility",34.5,NA,1910,2.4,13986779,16.4536230842505,50.9,49.1
"1067","Yes","Self-Storage Facility",108405,2000,85.3,"02128","Self-Storage Facility",10.4,NA,2000,0.9,1127867.3,13.9358390622758,100,NA
"1068","Yes","Multifamily Housing",165000,2005,44.1,"02128","Multifamily Housing",32.3,84,2005,2.6,5333274.4,15.4894759414749,87.7,12.3
"1069","Municipal ","K-12 School",41336,1910,9.6,"02128","K-12 School",45.8,99,1910,2.7,1892899.1,14.4536201271333,16.2,83.8
"1070","Yes","Multifamily Housing",38370,2012,66.2,"02128","Multifamily Housing, Parking",6.6,100,2012,0.6,251396.2,12.43478545967,100,NA
"1071","Municipal ","Library",10000,2000,35.3,"02128","Library",14.7,NA,2000,0.9,146542.6,11.8950714501524,19.4,80.6
"1072","Yes","Urgent Care/Clinic/Other Outpatient",47777,2012,17.5,"02128","Urgent Care/Clinic/Other Outpatient",111.4,NA,2012,7.9,5324152.8,15.4877641583107,55.5,44.5
"1073","Yes","Hotel",488000,2003,13.8,"02128","Hotel, Parking, Swimming Pool",45.5,97,2003,3.1,22180861.4,16.9147403759223,44.6,55.4
"1074","Municipal ","K-12 School",35100,1905,16.9,"02128","K-12 School",46.4,98,1905,2.8,1628827.8,14.3033711729726,22.3,77.7
"1076","Yes","Multifamily Housing",37620,1996,37.8,"02128","Parking, Residential Care Facility",74.3,NA,1996,5,2793688.5,14.8428733236789,45.4,54.6
"1077","Municipal ","Fire Station",18836,2000,6.6,"02128","Fire Station",130,NA,2000,8.2,2448539.6,14.711002323161,29.9,70.1
"1078","Municipal ","Library",19982,2000,46.9,"02128","Library",8.7,NA,2000,0.6,84368.7,11.3429517587205,50,50
"1079","Yes","Multifamily Housing",55000,1878,33.4,"02128","Multifamily Housing",6.2,100,1878,0.5,340342.2,12.7377068610286,94.5,5.5
"1080","Municipal ","K-12 School",169000,1975,45.5,"02128","K-12 School, Swimming Pool",112.4,69,1975,6,18993610,16.7596131647744,0.1,99.9
"1081","Municipal ","K-12 School",24648,1932,2.3,"02128","K-12 School",42.1,99,1932,2.6,1038318,13.8531126541713,27.9,72.1
"1082","Municipal ","K-12 School",36190,1926,64.4,"02128","K-12 School",35.5,100,1926,2.2,1283775.6,14.0653159816035,25.1,74.9
"1083","Municipal ","Fire Station",10080,2000,11.6,"02128","Fire Station",137,NA,2000,8.8,1380774.8,14.1381553488551,35.3,64.7
"1084","Municipal ","Library",15000,2013,83.3,"02128","Library",76.8,NA,2013,5.8,1152698.5,13.9576162732956,67.9,32.1
"1085","Municipal ","K-12 School",169748,1924,45.9,"02128","K-12 School",52.8,100,1924,2.9,894509.2,13.7040304669535,3.5,96.5
"1086","Yes","Multifamily Housing",52157,1975,31.1,"02128","Multifamily Housing",82.6,13,1975,5.1,3635759.4,15.1063285604729,25.5,74.5
"1087","Yes","K-12 School",67527,2016,10.7,"02128","K-12 School",12.2,100,2016,1,824120.9,13.6220725214298,100,NA
"1088","Yes","Non-Refrigerated Warehouse",121101,1960,2.8,"02128","Non-Refrigerated Warehouse",29.4,64,1960,2.1,3555890.6,15.0841161102383,60.1,39.9
"1089","Municipal ","K-12 School",36628,1921,2.7,"02128","K-12 School",50.3,97,1921,3,1841106.8,14.4258774704826,22.6,77.4
"1090","Yes","Multifamily Housing",159661,2014,34.8,"02128","Multifamily Housing, Parking",20.9,NA,2014,1.4,3335798.3,15.0202225790022,49.6,50.4
"1091","Municipal ","Other - Public Services",3024,2000,0,"02128","Other - Public Services",120.2,NA,2000,10.3,363412.1,12.8032927310327,100,NA
"1093","Yes","Multifamily Housing",78545,1979,20.3,"02128","Multifamily Housing",55.1,90,1979,3.5,4329366.2,15.280931715131,31.1,68.9
"1094","Yes","Multifamily Housing",297154,1977,72.4,"02128","Multifamily Housing, Parking",132.3,9,1977,8.1,39328026,17.4874479524543,24.8,75.2
"1095","Yes","Multifamily Housing",33551,1900,52.7,"02128","Multifamily Housing",84.8,39,1900,5.1,2844019.2,14.8607288209373,23,77
"1096","Municipal ","Police Station",16194,2000,15.6,"02128","Police Station",159.2,NA,2000,10.2,2577566.3,14.7623562171418,33,67
"1097","Yes","Multifamily Housing",85000,1975,52.1,"02128","Multifamily Housing",88.8,46,1975,5.3,7552192.6,15.8373484896602,21.3,78.7
"1098","Municipal ","Social/Meeting Hall",11250,2000,2.7,"02128","Social/Meeting Hall",58.3,NA,2000,3.1,656132,13.3941172671965,NA,100
"1099","Municipal ","K-12 School",212505,1926,97,"02128","K-12 School",58.9,85,1926,3.5,12526035.5,16.3433198761685,17.4,82.6
"1100","Yes","Multifamily Housing",873348,1900,20.3,"02128","Multifamily Housing",20.5,100,1900,1.1,17932144.3,16.7021054312918,5.4,94.6
"1101","Yes","K-12 School",28637,1958,11,"02128","K-12 School",44.9,87,1958,3.4,1285718.9,14.0668285751276,99.4,0.6
"1102","Yes","Manufacturing/Industrial Plant",46000,1986,2.3,"02128","Manufacturing/Industrial Plant",25.8,NA,1986,1.5,1188328.9,13.9880585924402,26.2,73.8
"1103","Yes","Office",49247,1989,15.6,"02129","Bank Branch, Office, Retail Store",68.6,76,1989,5.2,3379718.5,15.0333029799672,70.3,29.7
"1104","Yes","Multifamily Housing",150977,2000,49,"02129","Multifamily Housing, Parking",68.4,71,2000,4.7,10320394.6,16.1496325537208,50.2,49.8
"1105","Yes","Office",86951,1989,14.4,"02129","Office",110.6,6,1989,9.1,9619381.9,16.0792905690184,89.6,10.4
"1106","Yes","Manufacturing/Industrial Plant",39754,1950,11.4,"02129","Manufacturing/Industrial Plant",163.1,NA,1950,12,6483133.3,15.6847144854142,62.6,37.4
"1107","Yes","Other - Lodging/Residential",80038,1996,16.2,"02129","Other - Lodging/Residential, Parking",16.2,NA,1996,1.2,1297713.5,14.0761144276919,100,NA
"1108","Yes","Multifamily Housing",280000,1986,10.5,"02129","Multifamily Housing",39,81,1986,2.8,10906574.3,16.2048763121684,60.1,39.9
"1109","Yes","Multifamily Housing",28820,1989,61.7,"02129","Multifamily Housing",27,100,1989,2.3,777615.3,13.5639872078607,100,NA
"1110","Voluntary","Medical Office",160352,1904,21.2,"02129","Medical Office",280.9,15,1904,9.7,45037741.8,17.6230114028834,35.1,64.9
"1111","Yes","Multifamily Housing",91379,1984,25,"02129","Multifamily Housing, Office, Parking",25.3,93,1984,2.2,2315437.8,14.6551093420934,100,NA
"1112","Yes","Medical Office",733715,1919,19.1,"02129","Medical Office",240,22,1919,5.9,176105696,18.9865949182017,53.6,46.4
"1113","Yes","Hotel",270000,1992,12.5,"02129","Hotel, Swimming Pool",58.2,84,1992,3.5,15712440,16.5699633132576,21,79
"1114","Municipal ","Library",15831,2000,3.9,"02129","Library",88.6,NA,2000,6.3,1402470.5,14.1537458822897,55.3,44.7
"1115","Yes","Multifamily Housing",590000,1989,15.2,"02129","Multifamily Housing",48.4,40,1989,3.4,28532031.1,17.1665379123837,53.5,46.5
"1116","Municipal ","Police Station",20000,2000,27.9,"02129","Police Station",100.9,NA,2000,7.1,2017126.6,14.5171845814515,53.7,46.3
"1117","Municipal ","Fire Station",18150,2000,10.2,"02129","Fire Station",78,NA,2000,4.9,1414920.2,14.1625836917095,28.3,71.7
"1118","Yes","Multifamily Housing",30425,1974,42.7,"02129","Multifamily Housing",54.5,96,1974,3.3,1658665.5,14.3215239213566,25.6,74.4
"1119","Municipal ","K-12 School",226822,1978,0.4,"02129","K-12 School",75.8,34,1978,5,17187118.8,16.659670754236,38.6,61.4
"1120","Yes","Multifamily Housing",225748,2008,43.7,"02129","Multifamily Housing, Parking",54.1,86,2008,3.8,12205848.1,16.3174257473098,54.6,45.4
"1121","Municipal ","K-12 School",81668,1932,11.4,"02129","K-12 School",47.1,96,1932,2.8,3849068.6,15.1633417549182,22.1,77.9
"1122","Yes","Multifamily Housing",98577,1974,55.3,"02129","Multifamily Housing",60.9,82,1974,3.9,6004147.6,15.6079610550442,33.4,66.6
"1123","Yes","Multifamily Housing",123594,2007,36.2,"02129","Multifamily Housing",46.8,NA,2007,2.9,5786682.2,15.5710696628566,29.4,70.6
"1124","Yes","Multifamily Housing",66863,1986,16,"02129","Multifamily Housing, Parking",45.7,52,1986,3.7,3055881.3,14.9325785868912,63.2,NA
"1125","Yes","Hospital (General Medical & Surgical)",290610,2012,35.5,"02129","Hospital (General Medical & Surgical)",199.3,96,2012,8.5,57927872.7,17.8747092204928,20.1,79.9
"1126","Voluntary","Multifamily Housing",29447,1989,25.4,"02129","Multifamily Housing",29.2,79,1989,2.5,858452.4,13.662886512238,100,NA
"1127","Municipal ","Fire Station",12000,2000,8.5,"02129","Fire Station",61.5,NA,2000,3.9,738303.2,13.5121098593193,32.1,67.9
"1129","Municipal ","Fitness Center/Health Club/Gym",9936,2000,40.5,"02129","Fitness Center/Health Club/Gym, Swimming Pool",18,NA,2000,1.5,178814.4,12.0941036753914,100,NA
"1130","Yes","Office",64925,1865,91.4,"02129","Office",69.6,73,1865,0.4,4515702.7,15.3230713694894,88.9,11.1
"1131","Yes","Manufacturing/Industrial Plant",82706,1965,12.1,"02129","Manufacturing/Industrial Plant",129.7,NA,1965,11,10730174.2,16.1885703493306,97.8,2.2
"1132","Yes","Multifamily Housing",320568,1979,49,"02129","Multifamily Housing",71.9,76,1979,4.4,23046690.4,16.9530327335837,27.1,72.9
"1134","Yes","Distribution Center",186818,1899,78.4,"02129","Distribution Center, Parking",13.3,NA,1899,0.9,2487039.2,14.7266034846235,48.1,51.9
"1135","Municipal ","Fitness Center/Health Club/Gym",64320,2000,63.6,"02129","Fitness Center/Health Club/Gym",35.4,NA,2000,1.9,2274131,14.637108559373,NA,100
"1136","Yes","Non-Refrigerated Warehouse",52944,1954,2.3,"02129","Non-Refrigerated Warehouse, Parking",8.5,99,1954,0.7,451602.1,13.0205567613797,80.5,19.5
"1138","Yes","Multifamily Housing",1e+05,1983,27,"02129","Multifamily Housing",19.4,100,1983,1.3,1938944.7,14.4776544139625,47.7,52.3
"1139","Yes","Manufacturing/Industrial Plant",65800,1965,2.3,"02129","Manufacturing/Industrial Plant",73.1,NA,1965,5.2,4812496.5,15.3867265303052,57,43
"1140","Municipal ","K-12 School",93350,1972,62.6,"02129","K-12 School",83.2,70,1972,4.8,7768084.9,15.8655342183477,15.5,84.5
"1141","Municipal ","K-12 School",59330,1963,24.4,"02129","K-12 School",41.1,99,1963,2.4,2439429.2,14.7072746354762,18,82
"1142","Yes","Other",403000,1920,1.8,"02129","Other",31.8,NA,1920,2.4,12812544.1,16.3659352568082,66.2,33.8
"1143","Yes","Other",448436,1925,14.1,"02129","College/University, Office, Other",125.7,NA,1925,10.7,56354822.2,17.8471783706538,98.1,1.9
"1145","Municipal ","Fire Station",10914,2000,20.3,"02129","Fire Station",116.7,NA,2000,7.5,1273827.3,14.0575365486257,34,66
"1146","Yes","Office",609636,1928,1186,"02129","Office, Parking",55.4,93,1928,4.4,33745459.2,17.334356424009,79.6,20.4
"1147","Yes","Strip Mall",46457,1985,87.2,"02129","Parking, Strip Mall",168,NA,1985,11.6,7804136.5,15.8701644716024,49.2,50.8
"1148","Yes","Office",132614,1910,4.2,"02129","Office, Other",33.9,NA,1910,2.4,4495412.9,15.3185680792888,50.9,49.1
"1149","Yes","Office",49063,1900,12,"02129","Office",54.7,92,1900,4.2,2685844.7,14.8035058360766,71.6,28.4
"1150","Yes","Other - Services",39000,1920,20.9,"02129","Other - Services",73,NA,1920,4.7,2846317.2,14.8615365060946,40,56.4
