"","reported","property_type","gross_area_SF","year_built","h2o_intensity_GALSF","zip","property_uses","site_eui_KBTUSF","energy_star_score","ghg_emissions_MTCO2e","ghg_intens_KGCO2SF","total_site_energy_KBTU","log_total_site_energy_KBTU","electricity_percentage","gas_percentage"
"375","Yes","Multifamily Housing",174779,1978,36.2,"02115","Multifamily Housing",71.5,52,1978,4.7,12491157,16.3405315119188,40.5,59.5
"376","Yes","Multifamily Housing",154105,1978,39.5,"02115","Multifamily Housing",51.4,83,1978,3.5,7919019.4,15.8847779429938,49.3,50.7
"377","Yes","College/University",50023,1923,32.4,"02115","College/University",68,NA,1923,3.8,3403327.4,15.0402641580824,6.6,93.4
"378","Yes","Parking",159333,1975,2.6,"02115","Parking",4.7,NA,1975,0.4,752390.4,13.531010617157,100,NA
"379","Yes","Multifamily Housing",46200,1899,69.5,"02115","Multifamily Housing",115.5,33,1899,6.9,5338171.9,15.4903938115004,20.4,79.6
"381","Yes","College/University",4699442,1956,29.7,"02115","College/University",142.2,NA,1956,9.1,699902203.9,20.3664511745332,34.3,65.7
"382","Yes","Multifamily Housing",125000,1913,19.8,"02115","Multifamily Housing",50.5,34,1913,3.9,6317133,15.6587760239571,74.9,25.1
"383","Yes","Multifamily Housing",62000,1889,29.7,"02115","Multifamily Housing",66.3,78,1889,4,4110532.3,15.2290630914683,22,78
"384","Yes","Office",83307,1992,22.8,"02115","Office, Pre-school/Daycare, Restaurant, Retail Store",121.6,NA,1992,9,10127540.7,16.1307690728117,65.7,34.3
"385","Yes","Multifamily Housing",35100,1920,41.2,"02115","Multifamily Housing",70.3,95,1920,4.1,2466743.1,14.7184092555127,16.9,83.1
"386","Yes","Library",51782,1964,11.2,"02115","Library",95.9,NA,1964,6.4,4966107.3,15.4181468517439,43.5,56.5
"388","Yes","Hotel",393752,2007,44.2,"02115","Hotel",67.7,69,2007,5.2,26662920.2,17.0987844016,60.4,10.6
"389","Yes","Multifamily Housing",60000,1990,37.6,"02115","Multifamily Housing",44,100,1990,2.5,2640289.6,14.7863991660759,13.4,86.6
"390","Yes","College/University",166153,1919,20.3,"02115","College/University, Data Center, Parking",160.9,NA,1919,10.7,26734261.1,17.1014564880552,41.4,58.6
"391","Yes","Residence Hall/Dormitory",53826,1958,16.2,"02115","Residence Hall/Dormitory",40.5,98,1958,2.5,2182064.1,14.5957818216623,26.8,73.2
"392","Yes","College/University",87877,1954,22.1,"02115","College/University, Parking",191,NA,1954,12.5,16782829.8,16.6358668860246,37.4,62.6
"394","Yes","Multifamily Housing",78100,1988,40.2,"02115","Multifamily Housing",48.2,75,1988,3.5,3766014.2,15.141527758771,58.3,41.7
"395","Yes","Medical Office",50000,1948,16.8,"02115","Medical Office, Parking",189.8,3,1948,12.5,9491353.6,16.0658917947667,39.1,60.9
"396","Yes","Office",119288,1905,24,"02115","Office",213.7,1,1905,17.6,25492177.5,17.0538821983609,90.4,9.6
