parcel,zip,floor_area_SF,property_type_self_reported,energy_star_score_2017,site_eui_KBTUSF_2017,source_eui_KBTUSF_2017,percent_better_nat_med_site_eui_2017,percent_better_nat_med_source_eui_2017,total_ghg_emissions_MTCO2e_2017,total_ghg_intensity_kgCO2eSF_2017,weather_norm_site_eui_KBTUSF_2017,weather_norm_source_eui_KBTUSF_2017,total_site_energy_KBTU,log_total_site_energy_KBTU,Neighborhood.Code,Neighborhood.Code.Definition,Volume.Number,Property.Class.Code,Year.Property.Built,Number.of.Bathrooms,Number.of.Bedrooms,Number.of.Rooms,Number.of.Stories,Number.of.Units,Zoning.Code,Construction.Type,Lot.Depth,Lot.Frontage,Property.Area.in.Square.Feet,Basement.Area,Lot.Area,Lot.Code,Tax.Rate.Area.Code,Percent.of.Ownership,Closed.Roll.Misc.Exemption.Value,Closed.Roll.Homeowner.Exemption.Value,Current.Sales.Date,Closed.Roll.Assessed.Fixtures.Value,Closed.Roll.Assessed.Improvement.Value,Closed.Roll.Assessed.Land.Value,Closed.Roll.Assessed.Personal.Prop.Value,Supervisor.District,Neighborhoods...Analysis.Boundaries
3722/004,94105,24564,Office,4,179.7,302.8,98,98,264.9,10.8,178.1,297.8,4414150.8,15.30032603,08B,Financial District North,3,O,1900,0,NA,0,7,0,CCB,B,0,0,23260,0,3767,,1000,1,0,0,2/4/51,0,10451234,8425495,0,3,Financial District/South Beach
3910/001,94103,328873,Enclosed Mall,100,15.7,47.4,-79.9,-79.9,384.3,1.2,15.9,47.7,5163306.1,15.45708765,09D,Mission Bay,26,C,1915,0,0,93,4,0,M2,B,0,0,328508,0,66348.5,O,1000,1,0,0,2/16/60,0,36713362,23410724,0,10,Mission Bay
0207/032,94111,571527,Office,87,121.4,193.8,-36.1,-36.1,3872.2,7.2,121.4,193.8,69383377.8,18.05515788,08B,Financial District North,2,OAT,1971,0,0,0,48,0,C3O,A,0,0,523000,0,53808,O,1000,1,0,0,,0,177413383,56421214,0,3,Chinatown
0289/009,94104,325006,Office,96,42.1,109.4,-57.9,-57.9,1001.9,3.1,43.7,111.3,13682752.6,16.43164666,08B,Financial District North,3,O,1978,0,0,0,25,0,C3O,D,0,0,281527,0,18579,O,1000,1,0,0,11/8/70,0,43717505,95888887,0,3,Financial District/South Beach
0330/023,94102,65892,Hotel,69,81.4,155.8,-16.7,-16.7,308.9,5.1,81.7,156.1,5363608.8,15.49514759,08I,,3,H2,1907,0,0,140,5,6,C3G,C,0,10.42,60692,0,10589,O,1000,1,0,0,1/11/12,7406,8524912,10929374,4015503,3,Tenderloin
3979/001,94107,191204,Office,91,46.3,135.8,-44.6,-44.6,472.4,3.4,47.2,136.7,8852745.2,15.99623816,09E,Potrero Hill,26,O,1927,0,0,17,3,3,M1,C,0,0,176000,4748,80000,R,1000,1,0,0,7/27/70,0,13929595,26787686,1923,10,Potrero Hill
1232/042,94117,48556,K-12 School,93,44.2,110.5,-44,-44,146.4,3,45.5,111.9,2146175.2,14.57919784,09F,South of Market,25,O,6889,0,NA,0,3,0,,,0,0,40017,0,1600,O,1000,1,692043,0,,0,1561471,2404269,0,6,South of Market
1228/005,94117,21906,Supermarket/Grocery Store,55,266.6,653.5,-3.6,-3.6,399.2,18.2,268,655,5840139.6,15.58026526,05B,Haight Ashbury,9,C,1961,0,0,12,2,0,HAIGHT,C,0,0,23060,0,20644,,1000,0.69,0,0,10/2/10,0,1524755,3668369,0,5,Haight Ashbury
0343/031,94102,146793,Performing Arts,100,7.5,22.5,-73.6,-73.6,81.8,0.6,7.5,22.5,1100947.5,13.91168173,08A,Dowtown,3,T,1922,0,0,0,7,0,,,0,0,182452,0,0,,1000,0.5,0,0,,0,578455,1274181,0,6,Tenderloin
3785/132,94107,73666,College/University,72,86.4,225.8,-14,-14,446.3,6.1,87.4,226.8,6364742.4,15.66628432,09D,Mission Bay,25,O,1900,0,0,0,2,1,,,50,0,73687,0,68750,R,1000,1,0,0,6/5/70,0,6557623,14645362,0,6,Mission Bay
0285/005A,94108,12668,Mixed Use Property,38,70.8,145.6,18.3,18.3,57.5,4.5,70.8,145.6,896894.4,13.70669341,08I,,3,C,1909,0,0,6,1,5,C3R,C,0,75.11,12668,0,7509,,1000,0.25,0,0,,0,1470684,1918296,0,3,Financial District/South Beach
3508/024,94103,34000,Office,96,35.6,69.2,-58,-58,76.1,2.2,35.6,69.2,1210400,14.00646144,09F,South of Market,23,O,1930,0,0,15,4,0,C3G,B,0,0,37400,0,9347,,1000,1,0,0,,0,563150,235008,0,6,South of Market
1250/025,94117,22000,Hotel,39,50.3,104.7,9.6,9.6,71.2,3.2,51.2,107.4,1106600,13.91680281,07C,Central Sunset,5,H2,1972,0,NA,143,0,49,RM3,D,68.75,0,18810,0,5678.4,R,1000,1,0,0,5/28/93,0,2371857,9836436,0,3,Presidio Heights
3705/050,94103,58877,Movie Theater,3,103.1,316.7,272.1,272.1,455.8,7.7,103.3,316.9,6070218.7,15.61890519,09F,South of Market,25,O,2003,0,0,0,0,0,,,0,0,0,0,268974.6,,1015,1,51224894,0,,0,77817161,22623808,0,6,South of Market
4083/002,94110,74055,Office,96,28.5,68.3,-56.2,-56.2,108.2,1.9,30.1,69.9,2110567.5,14.56246743,09C,Inner ission,27,I,1949,0,0,13,3,1,CM/M1,B,0,0,56160,0,41600,R,1000,1,3049569,0,,0,2290625,1299637,0,9,Mission
0161/039,94133,46479,Hotel,69,66.8,145.1,-14.8,-14.8,109.6,4.4,67.8,149.4,3104797.2,14.94845896,08B,Financial District North,2,M,1963,0,0,85,5,72,CCB,C,0,0,29503,0,0,,1000,1,0,0,,822834,2156586,636261,200631,3,Chinatown
0204/019,94111,13418,Office,57,39.6,124.2,-7.6,-7.6,40.3,3,39.6,124.2,531352.8,13.18318149,08B,Financial District North,2,C,1967,0,0,5,1,1,C3O,B,0,0,16775,0,16775.51,O,1001,1,0,0,4/26/70,0,2535613,4153161,0,3,Financial District/South Beach
0297/005,94102,259424,Other,8,99.2,221.5,79.9,79.9,1697.4,6.5,99.8,222.2,25734860.8,17.06335708,08I,,3,U,1912,0,0,163,5,1,C3G,B,0,0,141058,0,23374,,1000,1,0,0,,4986102,28108253,2304067,1837525,3,Nob Hill
5431A/001F,94124,616793,Data Center,1,525.8,1648.9,48.7,48.7,19942.5,39.9,525.8,1648.9,324309759.4,19.59720966,10A,Bayview,32,IDC,1955,0,0,0,1,0,PDR2,C,0,0,69012,0,72523,,1018,1,0,0,11/2/41,0,6254004,10802376,0,10,Bayview Hunters Point
0328/001,94108,298126,Office,62,48.3,134.4,-9.2,-9.2,1067.8,3.6,48.6,134.8,14399485.8,16.48270306,08I,,3,O,1984,0,NA,1,0,0,C3R,C,0,0,0,0,0,,1000,0.6,0,0,,0,760090,1247884,0,2,Russian Hill
5375/059,94124,30000,,96,20.7,48.4,-57.7,-57.7,41.7,1.4,22.6,50.4,621000,13.33908636,10A,Bayview,32,C,1952,0,0,11,2,1,M1,C,0,0,31712,0,45023,,1000,0.5,0,0,,0,1227701,3215636,0,10,Bayview Hunters Point
4014/002,94110,26800,Office,96,28.1,71.9,-56.4,-56.4,52.4,2,30.4,74.2,753080,13.53192674,09C,Inner ission,26,I,1925,0,0,16,3,2,M1,B,0,0,41524,0,14048,O,1000,1,9638793,0,4/13/50,4253791,2114987,3172484,97531,10,Potrero Hill
0107/007,94111,420700,Office,91,55.1,144.8,-46.4,-46.4,1382.7,3.9,56.2,145.9,23180570,16.95882499,08H,North Waterfront,1,O,1982,0,0,0,7,0,C2,C,0,0,360713,0,72646,O,1000,0.273,0,0,,0,87711553,3862536,0,3,Financial District/South Beach
0575/015,94109,27912,College/University,99,6.1,19.3,-92.7,-92.7,13,0.5,6.1,19.3,170263.2,12.04510075,07B,Pacific Heights,5,W,1900,0,0,9,2,0,RC4,C,0,0,20100,0,21492,,1000,1,0,0,1/9/51,0,418045,3762435,0,2,Pacific Heights
3788/015,94107,20878,Mixed Use Property,29,85.8,204.7,38.2,38.2,121.1,5.8,85.8,204.7,1791332.4,14.39847026,08I,,3,C,1924,0,NA,164,5,0,C3R,B,0,75.11,10875,0,9453.13,,1000,0.05,0,0,,0,498148,914355,0,3,Financial District/South Beach
3799/008,94107,55853,Office,97,45.3,124.4,-58.8,-58.8,181,3.2,44.9,123.1,2530140.9,14.74378555,09D,Mission Bay,25,O,2002,0,0,0,4,0,M2,,18.75,0,55853,0,16676.06,R,1000,1,0,0,8/18/30,1295329,9698722,7803573,2429607,10,Mission Bay
0504/011,94123,17698,Hotel,44,88.4,170.3,4.4,4.4,72.5,5.5,89.4,173.6,1564503.2,14.26307889,07D,Cow Hollow,4,M,1954,0,0,46,3,38,NC3,D,0,0,13098,0,8163,,1000,1,0,0,,0,2192384,1370234,52306,2,Marina
0166/008,94111,124372,Office,62,68.7,174.3,-12.6,-12.6,500.5,4.8,68.7,172.4,8544356.4,15.96078155,08B,Financial District North,2,O,1986,0,0,0,7,1,C2,C,37.5,0,102343,0,18906.25,R,1000,1,0,0,,0,18439807,674616,0,3,Financial District/South Beach
4811/003,94124,35000,Manufacturing/Industrial Plant,93,479.5,872.2,-47,NA,1031.8,29.5,479.5,872.2,16782500,16.63584723,10A,Bayview,29,I,1976,0,0,7,2,1,M1,C,0,0,17600,0,9997,,1018,1,0,0,,0,730513,38427,0,10,Bayview Hunters Point
6901/001A,94127,34875,Office,69,67.3,146.4,-17.8,-17.8,98.6,4.4,68.3,147.5,2347087.5,14.66868576,04E,Ingleside Terrace,41,B,1977,0,0,0,2,0,NC1,D,0,0,0,0,22241,,1000,1,0,0,,0,2410228,2131848,0,7,West of Twin Peaks
0872/002,94102,16203,Medical Office,69,37.3,112.7,-23.7,-23.7,41.1,2.8,37.1,111.9,604371.9,13.31194502,06B,Hayes Valley,6,O,1954,0,0,22,2,4000,NC3,C,0,0,0,0,10415,,1000,1,1127423,0,,0,788187,339236,0,8,Hayes Valley
5434B/005,94124,125000,Self-Storage Facility,81,10.3,32.4,-31.9,-31.9,97.8,0.8,10.3,32.4,1287500,14.06821291,10G,Silver Terrace,32,IDC,1956,0,0,2,3,2,M1,C,0,0,126988,0,87193,O,1018,1,0,0,8/30/99,0,2194153,2507603,0,10,Bayview Hunters Point
0738/007,94109,13976,Hotel,57,68.6,115.6,-6.3,-6.3,57.6,4.1,69.1,117.1,958753.6,13.77338939,08F,Van Ness/ Civic Center,6,H2,1959,0,0,36,2,34,RC4,C,20,0,13976,0,7200,R,1007,1,0,0,,0,846864,186004,0,5,Western Addition
0240/002,94104,95070,Office,91,42.5,111,-46.6,-46.6,295.8,3.1,44.8,113.8,4040475,15.21187282,08B,Financial District North,3,O,1936,0,0,66,10,1,C3O,B,0,0,94537,0,9587,,1000,0.02659,0,0,8/31/60,0,5464679,20328631,0,3,Financial District/South Beach
0022/015,94133,164650,Hotel,52,60,136.5,-2.1,-2.1,531.1,4,60.5,135.2,9879000,16.10592185,08B,Financial District North,8,G,1910,0,NA,113,15,134,INCLEM,A,75,0,173125,0,6875,R,1000,1,0,0,10/2/12,0,13756927,25076092,0,2,Marina
0239/030,94104,316366,Office,95,38.3,120.1,-53,-53,789.3,2.9,38.3,120.1,12116817.8,16.31010495,08B,Financial District North,3,O,1991,0,0,0,15,0,C3O,,92.75,0,0,0,23904.85,R,1000,1,0,0,,0,23196681,47379223,0,3,Financial District/South Beach
0023/002,94133,21630,Office,1,125.2,216.3,46.1,46.1,163.8,7.6,125.2,216.3,2708076,14.81174898,08H,North Waterfront,1,O,1950,0,0,35,3,0,C2,B,0,0,21556,0,15973,O,1000,1,0,0,10/3/10,0,3073046,3687656,0,3,North Beach
0682/006,94115,56455,Worship Facility,95,12.2,19,-56.8,-56.8,40.4,0.7,12.8,19.6,688751,13.44263509,06C,Lower Pacific Heights,5,W,1906,0,0,28,3,0,NC2,C,0,0,0,0,18905,,1000,1,908409,0,,72000,401054,414057,21298,5,Japantown
0295/007,94108,172000,Retail Store,75,48.3,151.6,-29.8,-29.8,629.7,3.7,48.3,151.6,8307600,15.93268132,08I,,3,C,1980,0,0,0,5,0,C3R,A,37.5,0.26,136000,0,22380.88,R,1000,1,0,0,8/5/91,0,29428380,26485540,0,3,Financial District/South Beach
0260/010,94104,205737,Office,93,33.6,105.5,-50.7,-50.7,524.3,2.5,33.6,105.5,6912763.2,15.74888,08B,Financial District North,3,O,1918,0,0,0,12,0,C3O,A,0,0,211947,0,24341,O,1000,1,0,0,,0,11293350,12621976,0,3,Financial District/South Beach
3555/063,94103,28000,Adult Education,93,27.9,66.5,-53,-53,52.8,1.9,29.8,68.5,781200,13.56858648,05M,Mission Dolores,23,O,1949,0,0,63,2,0,VALEN,C,0,0,35100,0,20757,O,1000,1,0,0,,0,1028069,1476557,0,8,Mission
3715/007,94105,112615,Other,7,158.8,287.1,133.2,133.2,1097.1,9.7,161.9,288.9,17883262,16.69937575,09H,South Beach,25,U,1926,0,0,22,5,0,C3O,A,37.5,0,54186,0,18906.25,R,1000,1,14741784,0,,3106261,6140317,5115520,379686,6,Financial District/South Beach
0570/007,94123,24341,Hotel,45,94.1,169.3,3.5,3.5,118.4,5.8,96.1,175.6,2290488.1,14.6442755,07B,Pacific Heights,5,M,1957,0,0,60,4,56,RC3,D,0,0,20541,0,12236,,1000,1,0,0,7/1/30,370576,2371857,3479499,120360,2,Pacific Heights
0229/003,94111,197000,Office,92,60.9,136.1,-47.8,-47.8,791.6,4,63.1,138.5,11997300,16.30019218,08B,Financial District North,2,O,1989,0,0,0,8,1,C3O,A,75.2,0,197874,0,32886.4,R,1000,1,0,0,4/20/50,10358069,21286366,31929551,949592,3,Chinatown
3780/006,94103,445395,Office,90,72.1,188.6,-47.7,-47.7,2253.1,5.1,73.1,189,32112979.5,17.28477085,09H,South Beach,25,O,1989,0,NA,10,12,1,C3O,A,0,0,323435,0,69268,O,1000,1,0,0,11/8/70,0,117685680,52256170,0,6,Financial District/South Beach
0503/028,94123,17280,Hotel,59,62.2,131.4,-8.4,-8.4,69.5,4,62.7,133.2,1074816,13.88766004,07D,Cow Hollow,4,M,1971,0,0,52,3,49,NC3,D,9.75,0,20340,0,7545.31,R,1000,1,0,0,,40066,1628813,1067634,218416,2,Marina
0306/022,94102,93600,Hotel,69,68.4,153.6,-17,-17,423.2,4.5,68.4,153.6,6402240,15.67215849,08I,,3,H2,1913,0,0,139,7,109,C3G,A,37.6,0,57159,8169,9480.64,R,1000,1,0,0,5/27/88,1022935,9195243,756152,2151731,3,Tenderloin
0295/016,94108,602630,Hotel,81,60.3,136.7,-28.8,-28.8,2409.7,4,61.3,137.8,36338589,17.40839079,08I,,3,H1,1972,0,0,803,35,685,C3R,A,0,30.89,610645,0,35931,O,1000,1,0,0,,7424252,121768950,53145199,13609255,3,Financial District/South Beach
0084/008,94111,80383,Office,77,61,132.8,-28.9,-28.9,320.4,4,61,132.8,4903363,15.40543185,08H,North Waterfront,1,O,1982,0,0,0,5,1,C2,C,0,0,88225,0,24344,O,1000,0.07125,0,0,,0,17131714,2170196,0,3,Financial District/South Beach
3718/026,94105,606738,Office,96,36.7,97.6,-57,-57,1517.5,2.6,38.2,99.2,22267284.6,16.9186291,09B,,25,O,1981,0,0,0,30,0,C3O,A,0,0,547960,0,69268,O,1016,1,0,0,4/30/97,0,64064152,69497745,0,6,Financial District/South Beach
1580/003A,94121,17690,Movie Theater,34,53.6,93.5,9.8,9.8,57.5,3.3,57.6,97.7,948184,13.76230386,01E,Outer Richmond,12,T,1925,0,0,18,2,6,NC2,C,0,0,11907,0,14470,O,1000,1,0,0,,0,123050,237077,0,1,Outer Richmond
3703/076,94103,72933,Office,93,38.6,119.1,-49.7,-49.7,211.8,2.9,38.9,119.4,2815213.8,14.85054877,09F,South of Market,25,O,1909,0,0,8,6,0,C3G,C,0,0,77225,0,10123,,1000,1,0,0,7/24/12,0,7906810,8036320,0,6,South of Market
3903/004,94103,43670,Distribution Center,80,8.7,18.2,-41.8,-41.8,24.4,0.6,8.7,18.2,379929,12.84773967,09C,Inner ission,26,I,1962,0,0,12,2,0,M1,C,0,0,40638,0,22224,,1000,1,0,0,9/1/87,185821,2462441,1324125,0,9,Mission
0136/006,94111,29690,Office,81,37.2,111.7,-33.9,-33.9,82.1,2.8,37.7,112.3,1104468,13.91487433,08H,North Waterfront,2,C,1932,0,0,4,3,2,C2,C,45.83,0,23408,0,6301.63,R,1000,1,0,0,,0,900233,230581,0,3,Financial District/South Beach
0141/002,94111,63959,,40,101.1,203.7,9.9,9.9,258,6.4,105.9,208.7,6466254.9,15.68210766,08H,North Waterfront,2,C,1931,0,0,46,2,1,C2,B,0,0,64923,0,27037,O,1000,1,0,0,,0,1054131,905986,0,3,Financial District/South Beach
3588/082,94110,30000,Mixed Use Property,81,44.7,81.6,-33.7,-33.7,82.5,2.8,45.4,82.4,1341000,14.10892616,09C,Inner ission,24,Z,1916,3,3,5,3,0,RM1,,85,0,1261,0,2125,R,1000,1,0,0,10/29/13,0,257980,579144,0,9,Mission
0833/003,94102,204509,K-12 School,98,31,54.9,-54.7,-54.7,342.1,1.7,NA,NA,6339779,15.66235447,09D,Mission Bay,3,H2,1966,0,NA,22,7,1,SSO,A,0,0,0,0,4154,,1000,0.65,1168757,0,4/30/99,4294090,3079733,18382,1348850,6,Tenderloin
0935/005,94123,12031,Hotel,37,145.2,185.5,14.5,14.5,97.1,8.1,153.6,194.7,1746901.2,14.37335403,07A,Marina,7,M,1940,41,41,65,1,41,NC3,D,23.3,0,12030,0,12330,R,1000,1,0,0,,0,413909,870605,0,2,Marina
7295/038A,94132,440707,,67,76.7,196.6,-16.5,-16.5,2350.8,5.3,76.9,196.9,33802226.9,17.33603724,03D,Stonestown,44,CD,1951,0,0,0,3,0,C2,B,0,0,0,0,88574,,1000,1,0,0,,0,33488139,19795207,0,7,Lakeshore
3715/003,94105,44748,Office,65,45.7,143.4,-16.5,-16.5,152.8,3.5,45.7,143.4,2044983.6,14.53090033,09H,South Beach,25,O,1984,0,0,0,7,0,C3O,D,37.5,0,44107,0,6301.63,R,1000,1,15323890,0,,624165,11390604,2715287,593834,6,Financial District/South Beach
0309/022,94108,13081,Office,39,73.3,148.7,12.1,12.1,61.1,4.7,76.9,152.6,958837.3,13.77347668,08I,,3,O,1909,0,0,32,7,2,C3R,C,0,96.42,13081,0,1846,,1000,0.02222,0,0,,0,692504,553993,0,3,Financial District/South Beach
3786/014,94107,61872,Office,99,27.6,68.7,-69.4,-69.4,117.4,1.9,28.5,69.7,1707667.2,14.35063879,09D,Mission Bay,25,O,1985,0,0,27,2,0,SSO,C,0,0,60976,0,30740,O,1000,1,0,0,,0,2802929,7959644,0,6,South of Market
0834/027,94102,90589,College/University,87,66.7,165,-37.2,-37.2,414.6,4.6,67.9,166.2,6042286.3,15.61429302,08F,Van Ness/ Civic Center,3,G,1987,0,NA,0,6,0,C3G,A,88.75,0,75482,0,18905,R,1000,1,0,0,8/31/60,0,74673720,31515637,0,6,Tenderloin
7296/005,94132,33637,,1,226.5,636.5,167.9,167.9,550.5,16.4,226.5,636.5,7618780.5,15.84612688,03D,Stonestown,44,C,1952,0,0,0,1,0,C2,C,0,0,73491,0,0,,1000,0.99816,0,0,8/17/40,0,28992948,7958843,0,7,Lakeshore
3723/113,94103,357659,Mixed Use Property,3,137.7,329.5,167.6,167.6,3334.5,9.3,NA,NA,49249644.3,17.7124127,09B,,25,O,1984,0,NA,0,10,0,C3O,A,0,0,409013,0,18905,O,1000,1,27498069,0,,0,52659798,22623808,0,6,Financial District/South Beach
3787/026,94107,17640,Office,8,123.8,221.3,79.8,79.8,133.5,7.6,123.1,219,2183832,14.59659169,09C,Inner ission,23,C,1928,0,NA,11,2,0,,B,0,0,11209,0,10136,R,1000,0.54,0,0,,0,0,399768,0,9,Mission
3722/006,94105,18840,Office,69,74.2,118.8,-19.8,-19.8,82.6,4.4,76.5,121.2,1397928,14.1505017,09B,,25,I,1910,0,0,18,3,0,C3O,C,61,0,18840,0,6438,,1000,1,0,0,8/4/93,0,761233,236985,0,6,Financial District/South Beach
1701/001A,94122,34778,Hotel,72,53.5,90.7,-19.7,-19.7,112,3.2,54.2,92.9,1860623,14.43642194,02C,Outer Sunset,13,M,1958,0,0,54,2,21,NC2,D,0,0,8949,0,9548,,1000,1,0,0,,97337,483987,152080,177896,4,Sunset/Parkside
0330/004,94102,83256,Hotel,60,64.5,159,-9.3,-9.3,368,4.4,64.5,159,5370012,15.4963407,09C,Inner ission,3,H1,1913,0,NA,0,0,0,C3G,,0,0,0,0,20000,,1000,1,0,0,,0,0,51138,0,2,Mission
0204/021,94111,622267,Office,85,73.2,169,-37.8,-37.8,3041.9,4.9,74.6,170.5,45549944.4,17.63431996,08B,Financial District North,2,O,1967,0,0,51,25,0,C3O,A,0,0,615957,0,27610.76,O,1001,1,0,0,4/26/70,0,251233588,117818682,0,3,Financial District/South Beach
4343/026,94107,15650,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",27,41.8,131.2,30.7,30.7,49.6,3.2,41.8,131.2,654170,13.39112254,09F,South of Market,25,I,1908,0,NA,8,2,0,SLR,C,0,0,16395,0,3149,,1000,1,0,0,2/6/71,0,753889,118528,0,6,Financial District/South Beach
3643/010A,94110,24410,Mixed Use Property,63,53.4,107.7,-12.5,-12.5,82.9,3.4,53.4,107.7,1303494,14.08055891,09C,Inner ission,24,C,1917,0,0,9,14,6,C1,C,0,0,0,0,8812,,1000,1,0,0,1/28/99,0,1758455,1278874,0,9,Mission
0811/022,94102,136297,Office,27,158.9,330.9,26.7,26.7,982.9,10.2,158.9,330.9,21657593.3,16.89086668,08F,Van Ness/ Civic Center,6,O,1968,0,0,22,6,5,C3G,C,0,0,138460,0,19793,,1000,1,0,0,1/31/12,0,4631331,18525324,0,6,Tenderloin
3755/044,94103,26162,Distribution Center,16,31.5,98.8,64.8,64.8,62.4,2.4,31.5,98.8,824103,13.6220508,09F,South of Market,25,I,1931,0,0,11,4,1,SLR,D,69,0,26162,0,6900,R,1000,1,0,0,,0,244052,82711,0,6,South of Market
0236/019,94111,249960,Office,90,54.2,128.1,-46,-46,913.3,3.7,55.8,129.9,13547832,16.42173709,08B,Financial District North,3,O,2000,0,0,0,23,0,C3O,,0,0,249759,0,15178.79,O,1000,1,0,0,9/25/97,0,87762895,33881065,0,3,Financial District/South Beach
3704/035,94103,21190,Bar/Nightclub,63,24.1,75.4,-11.4,-11.4,38.6,1.8,23.8,74.6,510679,13.14349649,09F,South of Market,25,I,1924,0,0,5,1,0,C3G,C,0,0,14347,0,8934,O,1000,0.54,0,0,,0,433805,215201,0,6,South of Market
3511/093,94103,127900,Non-Refrigerated Warehouse,94,8.1,25.6,-57.4,-57.4,78.9,0.6,8.1,25.6,1035990,13.85086805,09B,,25,E,1948,0,NA,0,0,3,M1,,20,0,0,0,8180,R,1000,1,0,0,,0,148401,762004,140723,6,Financial District/South Beach
3703/061,94103,54882,Hotel,97,47.7,60,-51.8,-51.8,144.9,2.6,50.1,62.6,2617871.4,14.7778721,09F,South of Market,25,HC,1912,0,0,168,7,0,C3G,C,65,0,56583,0,8250,R,1000,1,0,0,8/25/93,12517,2773091,1594522,13827,6,South of Market
1009/029,94118,15000,Medical Office,44,56.6,150.5,6.1,6.1,59.9,4,57.2,151.2,849000,13.65181447,07C,Presidio Heights,7,O,1977,0,0,57,3,12,SACTO,D,0,0,15657,0,0,,1000,1,0,0,,0,968755,162068,0,2,Presidio Heights
3529/050,94103,42675,Supermarket/Grocery Store,80,135.6,315.3,-34.3,-34.3,277.7,9.1,137.6,317.4,5786730,15.57107792,09F,South of Market,23,C,1940,0,0,0,1,0,MI,C,0,0,33225,0,42953,O,1000,1,0,0,7/31/98,3328893,639434,2046203,143981,9,Mission
0298/008,94109,19570,Hotel,95,105,149.3,-48.1,-48.1,117.5,6,105,149.3,2054850,14.53571341,08A,Dowtown,3,H2,1907,0,0,56,7,57,C3G,A,0,0,16590,0,2369,,1000,1,0,0,,0,358085,179034,0,3,Nob Hill
0238/001,94104,588929,Office,92,45.1,130.8,-47.8,-47.8,1722.5,3.3,45.8,131.4,26560697.9,17.09494316,08B,Financial District North,3,O,1989,0,0,0,30,0,C3O,A,90,0,447372,0,11160,R,1000,1,0,0,2/14/51,0,78035750,89183714,0,3,Financial District/South Beach
3958/001B,94103,12465,Office,80,29.6,93,-32.4,-32.4,28,2.2,29.6,93,368964,12.81845436,09E,Potrero Hill,26,O,1984,0,0,4,2,0,M1,C,0,0,13000,0,8000,R,1000,1,0,0,7/19/70,0,938639,1407959,0,10,Mission Bay
3754/057,94103,16981,Bar/Nightclub,18,35.9,112.7,32.4,32.4,46.2,2.7,35.9,112.7,609617.9,13.32058765,09F,South of Market,25,C,1932,0,0,0,2,1,SLR,D,25,0,16405,3600,7500,R,1008,1,0,0,8/4/93,0,735257,519967,0,6,South of Market
3721/015,94105,41400,Mixed Use Property,62,38.1,101.6,-17.4,-17.4,111.5,2.7,37.4,99.6,1577340,14.27125044,09B,,25,O,1908,0,0,37,3,0,C3OSD,C,15,0,43100,7728,10350,R,1016,1,0,0,,0,2229589,3344385,0,6,Financial District/South Beach
3953/003,94107,16178,Office,80,59,96.9,-34.5,-34.5,56.8,3.5,66,105.7,954502,13.76894502,05M,Mission Dolores,23,C,1900,0,NA,0,8,0,C3O,A,0,0,15770,0,5000,R,1000,0.2,0,0,,429611,360725,339236,5131,8,Financial District/South Beach
0174/001,94111,14568,Office,94,37.8,86.5,-53.3,-53.3,36.6,2.5,40,88.9,550670.4,13.21889172,08B,Financial District North,2,C,1907,0,0,6,3,1,C2,C,51.67,0,14568,0,4856.98,R,1000,1,0,0,12/22/97,0,846666,1107183,0,3,Chinatown
3570/039,94110,33739,Office,93,27.4,76.8,-53,-53,66.8,2,28.3,77.7,924448.6,13.73695273,09C,Inner ission,23,O,1922,0,0,3,3,3,NC3,C,0,0,31500,0,10497,,1000,1,0,0,,0,301540,94218,0,9,Mission
5598/030,94124,28484,Supermarket/Grocery Store,37,107.8,332.5,11.3,11.3,166.1,8.1,107.8,332.5,3070575.2,14.93737546,10A,Bayview,33,C,1994,0,0,0,1,2,M1,D,0,0,20640,0,48746,O,1018,1,0,0,4/1/20,0,1807671,2410228,0,10,Bayview Hunters Point
1022/026,94115,40328,Hotel,49,60.2,134.5,0.6,0.6,101,4,61.1,137.4,2427745.6,14.70247365,08E,Russian Hill,5,G,1953,0,NA,113,2,41,NC3,C,0,0,0,0,0,,1000,0.2266,0,0,,36624,720595,3344385,0,3,Japantown
3785/009,94107,172415,Office,96,134.2,355.9,-36.8,-36.8,1306.8,9.5,136.5,358.4,23138093,16.95699086,09D,Mission Bay,25,O,1911,0,0,0,4,0,SLI,B,50,0,173125,0,34650,R,1000,1,0,0,5/28/93,2229534,2121412,2404269,197293,6,Mission Bay
3572/020A,94110,17160,Non-Refrigerated Warehouse,88,11.4,28.3,-53.2,-53.2,13.5,0.8,12.1,29,195624,12.18394973,09C,Inner ission,23,I,1929,0,0,7,2,0,M1,C,0,0,17160,0,20799,,1000,1,0,0,12/15/95,0,508193,813113,0,9,Mission
5239/024,94124,34320,Office,98,17.9,56.1,-62.1,-62.1,42.2,1.4,18.2,57.3,614328,13.32828427,10J,Hunters Point,31,OCH,1986,0,0,0,2,2,M1,C,0,0,31120,0,35000,R,1002,1,0,0,12/24/98,0,908455,1345862,0,10,Bayview Hunters Point
3775/042,94107,24812,Office,97,19.9,54.2,-59.4,-59.4,35.2,1.4,20.1,53.4,493758.8,13.10980242,09B,,25,I,1919,0,0,7,2,0,SPD,C,0,0,24680,0,13420,O,1000,1,0,0,,0,154097,152705,0,6,Financial District/South Beach
