parcel,zip,floor_area_SF,property_type_self_reported,energy_star_score_2017,site_eui_KBTUSF_2017,source_eui_KBTUSF_2017,percent_better_nat_med_site_eui_2017,percent_better_nat_med_source_eui_2017,total_ghg_emissions_MTCO2e_2017,total_ghg_intensity_kgCO2eSF_2017,weather_norm_site_eui_KBTUSF_2017,weather_norm_source_eui_KBTUSF_2017,total_site_energy_KBTU,log_total_site_energy_KBTU,Neighborhood.Code,Neighborhood.Code.Definition,Volume.Number,Property.Class.Code,Year.Property.Built,Number.of.Bathrooms,Number.of.Bedrooms,Number.of.Rooms,Number.of.Stories,Number.of.Units,Zoning.Code,Construction.Type,Lot.Depth,Lot.Frontage,Property.Area.in.Square.Feet,Basement.Area,Lot.Area,Lot.Code,Tax.Rate.Area.Code,Percent.of.Ownership,Closed.Roll.Misc.Exemption.Value,Closed.Roll.Homeowner.Exemption.Value,Current.Sales.Date,Closed.Roll.Assessed.Fixtures.Value,Closed.Roll.Assessed.Improvement.Value,Closed.Roll.Assessed.Land.Value,Closed.Roll.Assessed.Personal.Prop.Value,Supervisor.District,Neighborhoods...Analysis.Boundaries
0694/017,94109,12000,Office,90,32.6,84.9,-45.2,-45.2,27.4,2.3,33.7,85.2,391200,12.87697422,08F,Van Ness/ Civic Center,5,C,1917,0,0,5,2,0,RC4,C,20,0,0,0,6300,R,1000,1,0,0,12/27/95,372639,880872,813113,339343,3,Tenderloin
3778/001,94107,33000,Other,100,6.4,14.3,-88.4,-88.4,14,0.4,6.9,14.7,211200,12.26056083,09D,Mission Bay,25,I,1926,0,0,10,3,0,SLI,B,0,0,0,0,14640,,1000,1,0,0,,0,760849,416644,0,6,South of Market
3519/005,94103,22800,Office,96,36.5,100.3,-58.2,-58.2,59.6,2.6,NA,NA,832200,13.63182808,09B,,25,O,1955,0,NA,158,4,3,C3OSD,C,37.5,0,28600,0,1219,R,1005,1,0,0,2/11/11,0,6979785,3448907,0,6,Financial District/South Beach
3787/031,94107,292929,Office,90,72.1,159.8,-43.4,-43.4,1088.1,4.7,73.3,161.1,21120180.9,16.86573958,09D,Mission Bay,25,O,1908,0,0,0,4,0,SSO,C,0,0,255000,0,81082,O,1000,1,0,0,6/22/12,0,102463080,48157647,0,6,South of Market
3733/024,94103,18500,Office,97,30.2,94.9,-58.6,-58.6,41.3,2.3,30.2,94.9,558700,13.23336794,09F,South of Market,25,I,1935,0,0,7,2,0,RSD,C,0,0,12100,0,14000,O,1000,1,0,0,,0,1064809,583103,0,6,South of Market
3526/013,94103,108000,Office,85,35.1,105.7,-38.6,-38.6,282.1,2.6,35.3,105.9,3790800,15.14808764,09F,South of Market,23,I,1924,0,0,39,4,2,M2,B,0,0,108840,0,33597,,1000,1,0,0,,722499,6498245,1949462,22526,6,South of Market
3708/040,94105,124181,Office,88,56.7,136.4,-42,-42,477.8,3.8,58.1,137.9,7041062.7,15.76726967,09B,,25,O,1989,0,0,0,15,0,C3O,A,80,0,137747,0,8960,R,1000,1,0,0,1/6/10,2072111,13250865,7135080,519,6,Financial District/South Beach
0022/010,94133,126250,Hotel,67,66.4,154.5,-15.2,-15.2,561.5,4.4,67.1,156.8,8383000,15.9417164,08H,North Waterfront,1,H,1983,0,0,243,4,0,C2,C,75,0,73000,0,37812.5,R,1000,1,0,0,,0,23817147,7986169,0,3,North Beach
3751/158,94107,94000,Office,66,97.1,183.8,-16.8,-16.8,479.2,6,96.6,182.1,9127400,16.02679144,09F,South of Market,25,O,1988,0,0,0,6,0,M1,,69.33,0,83000,0,16875.43,R,1005,1,0,0,,0,0,0,0,6,South of Market
0999/026,94115,22500,K-12 School,77,23.7,74.3,-23.8,-23.8,40.4,1.8,23.9,75.1,533250,13.18674564,07B,Pacific Heights,7,E,1921,0,0,20,2,1,RH3,A,0,0,22500,0,7527,,1000,1,692043,0,,0,484364,207679,0,2,Pacific Heights
