building_id,building_type,property_type_primary,zip,council_district_code,neighborhood,year_built,num_buildings,num_floors,gross_floor_area_total_SF,gross_floor_area_parking_SF,gross_floor_area_building_SF,property_types_all,property_type_first,gross_floor_area_property_type_first_SF,property_type_second,property_type_third,energy_star_score,site_eui_KBTUSF,weather_norm_site_eui_KBTUSF,source_eui_KBTUSF,weather_norm_source_eui_KBTUSF,total_site_energy_KBTU,weather_norm_total_site_energy_KBTU,steam_use_KBTU,electricity_KWH,electricity_KBTU,natural_gas_THERMS,natural_gas_KBTU,total_ghg_emissions_MTCO2e,ghg_intensity_KGCO2e,log_total_site_energy_KBTU
19708,Multifamily HR (10+),High-Rise Multifamily,98121,7,DOWNTOWN,1982,1,24,167941,0,167941,"Multifamily Housing, Swimming Pool",Multifamily Housing,138787,Parking,Swimming Pool,4,17.29999924,18.70000076,50.40000153,54,2407904.5,2589125.5,0,626561.625,2137828,2700.76001,270076,29.25,0.17,14.69426743
19709,Multifamily LR (1-4),Low-Rise Multifamily,98116,1,SOUTHWEST,1986,1,4,38970,0,38970,Multifamily Housing,Multifamily Housing,38970,,,86,21,22.60000038,66,71.09999847,818836.125,882641.1875,0,239987.0938,818836,0,0,5.71,0.15,13.61563925
19712,Multifamily MR (5-9),Mid-Rise Multifamily,98107,6,BALLARD,1989,1,5,24648,0,24648,Multifamily Housing,Multifamily Housing,24648,,,92,23.20000076,24.5,73,76.80000305,572692.625,603194.6875,0,167846.5938,572693,0,0,3.99,0.16,13.25810442
19715,Multifamily LR (1-4),Low-Rise Multifamily,98199,7,MAGNOLIA / QUEEN ANNE,1988,1,4,34270,0,34270,Multifamily Housing,Multifamily Housing,21136,,,50,30.10000038,31.5,94.40000153,98.90000153,635697.3125,665705.875,0,186312.2031,635697,0,0,4.43,0.13,13.36247781
19718,Multifamily LR (1-4),Low-Rise Multifamily,98116,1,SOUTHWEST,1984,1,4,20837,0,20837,Multifamily Housing,Multifamily Housing,20837,,,1,18.60000038,19.5,58.40000153,61.40000153,387226,407136.9063,0,113489.3984,387226,0,0,2.7,0.13,12.86676378
19728,SPS-District K-12,K-12 School,98103,6,NORTHWEST,1930,1,2,47602,0,47602,K-12 School,K-12 School,46066,,,78,48.79999924,56.20000076,86.59999847,96.30000305,2249592.5,2589620,0,227970.7969,777836,14717.55859,1471756,83.59,1.76,14.62625965
19730,NonResidential,Other,98013,6,NORTHWEST,1917,1,2,28072,0,28072,Social/Meeting Hall,Social/Meeting Hall,23835,,,1,57.20000076,66.59999847,76.90000153,87.30000305,1362523,1587238,0,56399.80078,192436,11700.86914,1170087,63.48,2.26,14.12484869
19736,Multifamily LR (1-4),Low-Rise Multifamily,98122,3,EAST,1986,1,4,24864,0,24864,Multifamily Housing,Multifamily Housing,24864,,,33,24.70000076,26.39999962,77.69999695,83,614985,657612.1875,0,180241.7969,614985,0,0,4.29,0.17,13.32935316
19740,Multifamily MR (5-9),Mid-Rise Multifamily,98121,7,DOWNTOWN,1990,1,5,39050,0,39050,Multifamily Housing,Multifamily Housing,39050,,,97,25.79999924,26.60000038,81,83.5,1007356.313,1038387.188,0,295239.1875,1007356,0,0,7.02,0.18,13.82283995
19741,Multifamily MR (5-9),Mid-Rise Multifamily,98121,7,DOWNTOWN,1980,0,8,77800,0,77800,Multifamily Housing,Multifamily Housing,46300,,,7,67.30000305,72,182.1000061,195.6999969,3116420.25,3331292.5,0,723711.625,2469304,6471.160156,647116,51.58,0.66,14.95219555
