"","pid","dc_real_pid","pm_pid","property_name","pm_parent_pid","parent_property_name","year_ending","report_status","address_of_record","owner_of_record","ward","reported_address","city","state","postal_code","year_built","primary_ptype_self","primary_ptype_epa","tax_record_floor_area","reported_gross_floor_area","energy_star_score","site_eui","weather_norm_site_eui","source_eui","weather_norm_source_eui","total_ghg_emissions","total_ghg_emissions_intensity","water_use","electricity_use","natural_gas_use","fuel_use","district_water_use","metered_areas_energy","metered_areas_water","latitude","longitude","total_site_energy_KBTU","log_total_site_energy_KBTU","address_reform","x","lat","lon","score"
"1256","PM04372467","0212_2227","4372467","Town Terrace West Condominium","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1440 N ST NW","TOWNE TERRACE WEST CONDO","2","1440 N St NW","Washington","DC",10,1984,"Multifamily Housing","Multifamily Housing",57887,57887,1,79,72,649,622,507.5,8.8,3147.1,717136,42708.67769,NA,NA,"","",38.9069846,-77.0332688,4573073,15.3356959657754,"1440 N St NW, WASHINGTON, DC","1440 N St NW, WASHINGTON, DC",38.9072128871661,-77.0330416709356,100
"1257","PM04372792","1200_2387","4372792","Georgetown Park Condominiums","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1080 WISCONSIN AVE NW","GEORGETOWN PARK CONDO","2","1080 Wisconsin Avenue NW","Washington","DC",17,1980,"Multifamily Housing","Multifamily Housing",127497,127263,12,459,461,317,321,733.2,5.8,6220.2,1662886,15536.68852,NA,NA,"Whole Building","Whole Building",38.9046353,-77.0631079,58413717,17.8830613003554,"1080 Wisconsin Avenue NW, WASHINGTON, DC","1080 Wisconsin Avenue NW, WASHINGTON, DC",38.9048698078964,-77.0628417519445,100
"1258","PM04372799","5874_0054","4372799","People's Cooperative Association Inc.","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","2430 ELVANS RD SE","PEOPLES COOPERATIVE ASSOCIATES INC","8","2430 Elvans Road SE","Washington","DC",34,1970,"Multifamily Housing","Multifamily Housing",70568,70568,70,420,428,78,89,318.4,4.5,6288.3,576537,17472.10011,NA,NA,"Whole Building","Whole Building",38.8540427,-76.9867098,29638560,17.204586774216,"2430 Elvans Road SE, WASHINGTON, DC","2430 Elvans Road SE, WASHINGTON, DC",38.8542051154748,-76.9867270792905,100
"1259","PM04372819","1857_3004","4372819","Garfield Condominium","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","5410 CONNECTICUT AVE NW","THE GARFIELD CONDO","3","5410 Connecticut Ave NW","Washington","DC",26,1957,"Multifamily Housing","Multifamily Housing",131061,131061,75,406,402,84,75,589.4,4.5,4771.5,1110629,29142.87944,NA,NA,"Whole Building","Whole Building",38.9618,-77.0743547,53210766,17.7897713022592,"5410 Connecticut Ave NW, WASHINGTON, DC","5410 Connecticut Ave NW, WASHINGTON, DC",38.9617268533127,-77.0737878385371,100
"1260","PM04372880","2529_0305","4372880","Our Lady Queen of the Americas","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","2200 CALIFORNIA ST NW","ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON","2","2200 California St NW","Washington","DC",18,1903,"K-12 School","K-12 School",89326,70480,89,347,361,1086,1079,263,3.7,1477.9,459634.1,15646.10745,NA,NA,"Whole Building","Whole Building",38.91582334,-77.04911328,24456560,17.0124090405569,"2200 California St NW, WASHINGTON, DC","2200 California St NW, WASHINGTON, DC",38.9160061568597,-77.0489131042556,100
"1261","PM04373068","0377_3119","4373068","Artisan Condominium","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","Data under review by DOEE","0915 E ST NW","THE ARTISAN CONDO","2","915 E St NW","Washington","DC",9,2007,"Multifamily Housing","Multifamily Housing",120274,120274,1,710,684,808,787,11252.9,93.6,8598.8,28199030,41236.42135,NA,NA,"Whole Building","Whole Building",38.8964898,-77.0250247,85394540,18.2627927222887,"915 E St NW, WASHINGTON, DC","915 E St NW, WASHINGTON, DC",38.8961521837774,-77.0243395772089,100
"1262","PM04373170","0181_0821","4373170","founding","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1424 16TH ST NW","TRUSTEES FOR CHURCH OF SCIENTOLOGY RELIGIOUS TRUST","2","1424 16th St NW","Washington","DC",38,1917,"Worship Facility","Worship Facility",50233,50233,26,419,409,360,355,295.7,5.9,749.5,740505.3,1113.147453,NA,NA,"Whole Building","Whole Building",38.90946339,-77.03700105,21047627,16.8622983801465,"1424 16th St NW, WASHINGTON, DC","1424 16th St NW, WASHINGTON, DC",38.9089434867536,-77.0366095935571,100
"1263","PM04373175","0171_0814","4373175","Corcoran School of the Arts and Design","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1700 NEW YORK AV","THE GEORGE WASHINGTON UNIVERSITY","2","500 17th St NW (or 1700 New York Ave)","Washington","DC",14,1897,"College/University","College/University",137024,176170,NA,721,744,527,548,1357,7.7,1549.1,2243183,9163.997924,NA,6485091.4,"Whole Building","Whole Building",38.89585446,-77.03974273,127018570,18.6598438542061,"500 17th St NW (or 1700 New York Ave), WASHINGTON, DC","500 17th St NW (or 1700 New York Ave), WASHINGTON, DC",NA,NA,0
"1264","PM04097164","Not Available","4097164","Regency House","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","5201 Connecticut Ave. NW","DISTRICT OF COLUMBIA HOUSING AUTHORITY",NA,"5201 Connecticut Ave. NW","Washington","DC",26,1964,"Multifamily Housing","Multifamily Housing",113486,113486,43,709,714,309,306,704.1,6.2,8548,1004872,60955.00259,NA,NA,"Whole Building","Whole Building",38.9578824,-77.0711183,80461574,18.2032902868101,"5201 Connecticut Ave. NW, WASHINGTON, DC","5201 Connecticut Ave. NW, WASHINGTON, DC",38.9577430607947,-77.0712932702674,100
"1265","PM04374358","3499_3020","4374358","The Cloisters","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","2 HAWTHORNE CT NE","HAWTHORNE COURT","5","100 Michigan Ave NE","Washington","DC",29,1985,"Multifamily Housing","Multifamily Housing",564700,346210,19,356,351,263,257,1805.9,5.2,13368,4615361,NA,NA,NA,"Whole Building","Whole Building",38.927397,-77.006199,123250760,18.6297315371967,"100 Michigan Ave NE, WASHINGTON, DC","100 Michigan Ave NE, WASHINGTON, DC",38.9277727291292,-77.0053592613201,100
"1266","PM04097171","Not Available","4097171","Sibley Plaza Senior","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1140 North Capitol St. NW","DISTRICT OF COLUMBIA HOUSING AUTHORITY",NA,"1140 North Capitol St. NW","Washington","DC",5,1968,"Multifamily Housing","Multifamily Housing",196645,196645,1,46,54,569,561,1564.9,8,20051.5,2207481,137315.0023,NA,NA,"Whole Building","Whole Building",38.9049968,-77.0094776,9045670,16.0177967481423,"1140 North Capitol St. NW, WASHINGTON, DC","1140 North Capitol St. NW, WASHINGTON, DC",38.9045135783401,-77.0091692139872,100
"1267","PM04374392","6157_0077","4374392","Gregory Apartments","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","0822 BARNABY ST SE","VESTA DC III LLC","8","852 Barnaby Street SE","Washington","DC",37,2001,"Multifamily Housing","Multifamily Housing",88056,97506,86,478,485,110,106,466.6,4.8,6977.1,770021,31124.59984,NA,NA,"Whole Building","Whole Building",38.83231157,-76.99130802,46607868,17.6572799260455,"852 Barnaby Street SE, WASHINGTON, DC","852 Barnaby Street SE, WASHINGTON, DC",38.8315282091606,-76.992053181908,100
"1268","PM04374587","3629_0007","4374587","DC - VRG - Rhode Island Shp Ctr","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","524 - 528 RHODE ISLAND AVE NE","B&R ASSOCIATES","5","514 - 680 Rhode Island Ave. N.E.","Washington","DC",5,1985,"Strip Mall","Strip Mall",187925,195000,NA,439,432,431,430,1217.6,6.2,1455.8,3101767,745.0518138,NA,NA,"Whole Building","Whole Building",38.9217059,-76.9996899,85605000,18.2652542506211,"514 - 680 Rhode Island Ave. N.E., WASHINGTON, DC","514 - 680 Rhode Island Ave. N.E., WASHINGTON, DC",0,0,0
"1269","PM04374861","0070_1038","4374861","The Newport Condominium","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1260 21ST ST NW","THE NEWPORT CONDOMINIUM","2","1260 21st NW","Washington","DC",38,1966,"Multifamily Housing","Multifamily Housing",81630,81630,52,666,670,397,396,542,6.6,4183,947535.4,32246.61897,NA,NA,"Whole Building","Whole Building",38.9067387,-77.0469768,54365580,17.8112417909858,"1260 21st NW, WASHINGTON, DC","1260 21st NW, WASHINGTON, DC",38.9065661900787,-77.0467146674471,87.35
"1270","PM04374893","0234_0164","4374893","14W","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","1315 W St NW","14W",NA,"1315 W St NW","Washington","DC",20,2013,"Multifamily Housing","Multifamily Housing",347383,347383,5,550,541,455,445,2306.9,6.6,8088.5,5144144,55371.01068,NA,NA,"Whole Building","Whole Building",38.91958357,-77.03168089,191060650,19.068101474873,"1315 W St NW, WASHINGTON, DC","1315 W St NW, WASHINGTON, DC",38.9192540215569,-77.0301746997018,100
"1271","PM04376167","0371_0824","4376167","Henley Park Hotel","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","0926 MASSACHUSETTS AV","TUDOR LP","2","926 Massachusetts Avenue Northwest D.C.","Washington","DC",17,1918,"Hotel","Hotel",59425,59425,8,110,108,825,812,628.6,10.6,4983.3,1101970,37163.5205,NA,NA,"","",38.90315472,-77.02571048,6536750,15.6929506580208,"926 Massachusetts Avenue Northwest D.C., WASHINGTON, DC","926 Massachusetts Avenue Northwest D.C., WASHINGTON, DC",NA,NA,0
"1272","PM04376327","0015_2002","4376327","Bader Condominium","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","2515 K ST NW","THE BADER CONDO","2","2515 K St. NW","Washington","DC",40,1939,"Multifamily Housing","Multifamily Housing",51614,68360,50,618,610,391,391,443.5,6.5,2564.2,840338,21589.51689,NA,NA,"Whole Building","Whole Building",38.9029271,-77.0538162,42246480,17.5590315946872,"2515 K St. NW, WASHINGTON, DC","2515 K St. NW, WASHINGTON, DC",38.9027000288843,-77.0534702280678,100
"1273","PM04376417","2541_1131","4376417","The Woodward","Not Applicable: Standalone Property","Not Applicable: Standalone Property","12/31/2016","In Compliance","2311 CONNECTICUT AVE NW","THE WOODLAND CONDOMINIUM","1","2311 Connecticut Avenue","Washington","DC",18,1910,"Multifamily Housing","Multifamily Housing",57223,57223,34,705,707,301,273,357.6,6.2,2453.9,494418,30906.31844,NA,NA,"Whole Building","Whole Building",38.9187382,-77.048339,40342215,17.5129089972626,"2311 Connecticut Avenue, WASHINGTON, DC","2311 Connecticut Avenue, WASHINGTON, DC",38.9187876646201,-77.0483185426658,90.97
