"","report_status","ward","postal_code","year_built","primary_ptype_self","primary_ptype_epa","tax_record_floor_area","reported_gross_floor_area","water_use","metered_areas_energy","metered_areas_water","electricity_use","natural_gas_use","energy_star_score","site_eui","weather_norm_site_eui","source_eui","weather_norm_source_eui","total_ghg_emissions","total_ghg_emissions_intensity","total_site_energy_KBTU","log_total_site_energy_KBTU"
"121","In Compliance","2","20005",2003,"Office","Office",520441,425344,6723.3,"Whole Building","Whole Building",10164130,0,62,81.5,81.5,256,256,3977.1,9.4,34665536,17.361256552521
"122","In Compliance","6","20001",1973,"Office","Office",437693,343324,6513.2,"Whole Building","Whole Building",5435445,21279.5986,87,60.2,60.4,176.1,175.3,2239.8,6.5,20668104.8,16.844102239017
"123","In Compliance","2","20036",1968,"Office","Office",207740,134672,2897.7,"Whole Building","Whole Building",1845739,32027.54977,90,70.5,71.5,171.8,171.5,892.3,6.6,9494376,16.0662101812696
"124","In Compliance","2","20002",1964,"Office","Office",295925,221437,4350.8,"Whole Building","Whole Building",2619659,77140.67736,86,75.2,77,163.3,164.3,1434.8,6.5,16652062.4,16.6280446345876
"125","In Compliance","2","20002",2005,"Office","Office",164340,258777,3637,"Whole Building","Whole Building",6425645,NA,58,84.7,84.7,266,266,2514.3,9.7,21918411.9,16.902837567602
"126","In Compliance","2","20006",2005,"Office","Office",276579,231860,2477.9,"Whole Building","Whole Building",3055538,NA,90,45,45,141.2,141.2,1195.6,5.2,10433700,16.1605515099947
"127","In Compliance","2","20005",1987,"Office","Office",355204,308250,5166.8,"Whole Building","Whole Building",5114551,NA,85,56.6,56.2,177.8,176.3,2001.3,6.5,17446950,16.6746754062357
"128","In Compliance","2","20036",1975,"Office","Office",246682,204011,3310,"Whole Building","Whole Building",2900081,4340.446981,84,67.4,67.9,171.4,171.1,1411,6.9,13750341.4,16.4365742108595
"129","In Compliance","2","20052",1989,"Residence Hall/Dormitory","Residence Hall/Dormitory",69402,70389,691.6,"Another configuration","Whole Building",758741.6,13649.31886,74,58.3,59.5,138.4,139.7,379.2,5.4,4103678.7,15.2273943732943
"130","In Compliance","2","20052",2004,"Residence Hall/Dormitory","Residence Hall/Dormitory",327530,283531,8173.9,"Whole Building","Whole Building",4395859,79248.69448,38,81.2,81,195.8,193.4,2148.5,7.6,23022717.2,16.9519919907823
"131","In Compliance","2","20052",1947,"Residence Hall/Dormitory","Residence Hall/Dormitory",50296,50296,2610.1,"Whole Building","Whole Building",370605.9,19539.72599,81,64,65.5,119.7,119.4,248.8,4.9,3218944,14.9845639134226
"132","Data under review by DOEE","5","20017",1979,"Multifamily Housing","Multifamily Housing",181328,154532,6202.2,"Whole Building","Whole Building",540698.6,133060.0044,NA,98,102.9,127.9,132.1,918.3,5.9,15144136,16.5331239522853
"133","In Compliance","2","20004",1989,"Office","Office",186071,163747,5770.5,"Whole Building","Whole Building",3584087,NA,66,74.7,74.7,234.5,234.5,1402.4,8.6,12231900.9,16.3195579248578
"134","In Compliance","2","20005",1990,"Office","Office",246351,209728,4621.5,"Whole Building","Whole Building",4876003,NA,61,79.3,79.3,249.1,249.1,1907.9,9.1,16631430.4,16.6268048606993
"135","In Compliance","5","20017",1981,"Multifamily Housing","Multifamily Housing",181328,181328,5607.3,"Whole Building","Whole Building",1540160,NA,NA,29,27.9,91,87.7,602.6,3.3,5258512,15.4753586549592
"136","In Compliance","2","20052",1929,"Residence Hall/Dormitory","Residence Hall/Dormitory",206138,317213,20821.6,"Whole Building","Whole Building",3319645,104710.9901,NA,68.7,69.3,146.8,145.3,1855.1,5.8,21792533.1,16.8970779507379
"137","In Compliance","2","20052",1926,"Residence Hall/Dormitory","Residence Hall/Dormitory",64899,68372,3824.5,"Whole Building","Whole Building",528335.3,23210.87091,81,60.3,61.1,118.4,117.6,330,4.8,4122831.6,15.2320507668093
"138","In Compliance","2","20005",1981,"Office","Office",180600,143997,1869.4,"Whole Building","Whole Building",4709309,17208.09284,68,123.5,124,362.9,361.9,1934.1,13.4,17783629.5,16.6937889010758
"139","In Compliance","2","20036",1984,"Office","Office",90346,100104.2,1655.7,"Whole Building","Whole Building",2102408,NA,48,71.7,70.3,225,220.7,822.6,8.2,7177471.14,15.7864576700706
"140","In Compliance","2","20005",1982,"Office","Office",239325,187269,2052.9,"Whole Building","Whole Building",2706162,NA,85,49.3,49,154.8,153.9,1058.9,5.7,9232361.7,16.0382254459054
"141","In Compliance","2","20006",1969,"Office","Office",242124,224864,4106.8,"Whole Building","Whole Building",2676018,NA,NA,40.6,41.5,127.5,130.2,1047.1,4.7,9129478.4,16.0270191205996
