"","report_status","ward","postal_code","year_built","primary_ptype_self","primary_ptype_epa","tax_record_floor_area","reported_gross_floor_area","water_use","metered_areas_energy","metered_areas_water","electricity_use","natural_gas_use","energy_star_score","site_eui","weather_norm_site_eui","source_eui","weather_norm_source_eui","total_ghg_emissions","total_ghg_emissions_intensity","total_site_energy_KBTU","log_total_site_energy_KBTU"
"844","In Compliance","2","20009",1962,"Multifamily Housing","Multifamily Housing",84799,100250,3855.8,"Whole Building","Whole Building",939736.8,46359.70577,74,78.2,79.7,149,148.1,613.9,6.1,7839550,15.8746919927201
"845","In Compliance","2","20037",1969,"Multifamily Housing","Multifamily Housing",103487,103487,4047,"Whole Building","Whole Building",1077968,42879.14255,55,77,78.1,155.1,154.6,649.5,6.3,7968499,15.8910067017877
"846","In Compliance","3","20008",1956,"Multifamily Housing","Multifamily Housing",170143,170143,9028.9,"Whole Building","Whole Building",1250447,101914.1108,40,85,87.2,141.6,142.7,1030.6,6.1,14462155,16.4870457954027
"847","In Compliance","3","20015",1971,"Office","Office",193158,196779,4227.8,"Whole Building","Whole Building",2534822,36065.65206,NA,62.3,62.9,157.3,156.9,1183.4,6,12259331.7,16.321797976383
"848","In Compliance","3","20016",1913,"Other - Public Services","Fire Station",13472,13472,2197,"Whole Building","Combination of common and tenant areas",249715,11591.00044,NA,149.3,154.3,288.9,291.9,156.1,11.6,2011369.6,14.5143264410273
"849","In Compliance","6","20003",1896,"K-12 School","K-12 School",83800,83800,1685,"Whole Building","Whole Building",969981,614.0001401,62,40.2,40.2,124.8,124.8,370.4,4.4,3368760,15.0300552820951
"850","In Compliance","1","20009",1898,"Multifamily Housing","Multifamily Housing",122062,122062,4182.3,"Whole Building","Whole Building",624151,52183.62362,91,60.2,61.8,99.7,100.3,521.4,4.3,7348132.4,15.8099567436633
"851","In Compliance","2","20006",1977,"Office","Office",93196,93189,2407.8,"Whole Building","Whole Building",1729659,NA,87,63.3,63.3,198.9,198.9,676.8,7.3,5898863.7,15.5902702971072
"852","In Compliance","6","20001",2005,"Hotel","Hotel",161193,172236,6744,"Whole Building","Whole Building",2283814,21356.00031,71,57.6,57.8,155.1,155.3,1007.1,5.8,9920793.6,16.1101434760612
"853","In Compliance","6","20003",1980,"Hotel","Hotel",88653,88464,7595,"Whole Building","Whole Building",1315409,32357.9995,60,87.3,87,197.7,196.8,686.6,7.8,7722907.2,15.8597014314233
"854","In Compliance","2","20005",1988,"Office","Office",463869,260478,4452.6,"Whole Building","Whole Building",4767757,NA,72,62.5,62.5,196.1,196.1,1865.6,7.2,16279875,16.6054402403765
"855","In Compliance","2","20007",1936,"Library","Library",20110,20110,1071.3,"Whole Building","Whole Building",316311,11552.0015,NA,111.1,115.7,228.8,230.6,181.1,9,2234221,14.6194031794123
"856","In Compliance","1","20010",1000,"Other - Public Services","Police Station",14125,14125,1123.6,"Whole Building","Whole Building",176898,5769.999958,NA,83.6,86.5,177.1,177.6,97.6,6.9,1180850,13.9817450761053
"857","In Compliance","2","20052",1939,"College/University","College/University",180283,94331,816.5,"Another configuration","Whole Building",NA,3269.784379,NA,7.2,7.4,7.4,7.6,43.3,0.5,679183.2,13.428646178691
"858","In Compliance","6","20001",1972,"Multifamily Housing","Multifamily Housing",100794,124264,11051.3,"Whole Building","Whole Building",1085494,24190.58059,NA,49.3,49.8,114,114.6,553.2,4.5,6126215.2,15.6280876947164
"859","In Compliance","7","20019",1965,"Multifamily Housing","Multifamily Housing",417812,472535,52040.4,"Whole Building","Whole Building",5276660,122377.8272,43,64,59.9,146.8,133,2714.7,5.7,30242240,17.2247501806063
"860","In Compliance","2","20052",1939,"College/University","Library",180283,180283,3677.3,"Another configuration","Whole Building",NA,16160.49762,NA,9,9,9.4,9.4,85.8,0.5,1622547,14.2995076947834
"861","In Compliance","6","20001",2008,"Hotel","Hotel",259770,180925,13111.2,"Whole Building","Whole Building",3062315,173087.2098,36,153.4,154.6,281.8,280.8,2117.6,11.7,27753895,17.1388867486675
"862","In Compliance","1","20010",1984,"Other - Public Services","Fire Station",24875,24875,1862,"Whole Building","Whole Building",228136,10244.99981,NA,72.5,74.2,141.5,141.1,140.8,5.7,1803437.5,14.4052051238874
"863","In Compliance","2","20005",1955,"Office","Office",147884,124368,1604.7,"Whole Building","Whole Building",1708517,NA,84,46.9,46.3,147.2,145.5,668.5,5.4,5832859.2,15.5790178669222
"864","In Compliance","4","20011",1000,"Office","Other",27600,27600,1940.1,"Whole Building","Whole Building",430304,361.9999694,NA,54.5,53.6,168.4,165.4,164.8,6,1504200,14.2237717533744
"866","In Compliance","3","20016",1931,"Multifamily Housing","Multifamily Housing",56076,56076,2197,"Whole Building","Whole Building",321784.1,34594.25755,66,81.3,83.2,126.3,126.9,309.7,5.5,4558978.8,15.3326092090422
"867","In Compliance","3","20016",1940,"Multifamily Housing","Multifamily Housing",60984,60984,4347.9,"Whole Building","Whole Building",318222,42372.35602,63,87.3,89,128.9,129.3,349.6,5.7,5323903.2,15.4877172765137
"868","In Compliance","3","20007",1940,"Multifamily Housing","Multifamily Housing",69522,69522,3387.2,"Whole Building","Whole Building",313715.3,45312.39122,70,80.6,83.7,116.8,118.9,363.4,5.2,5603473.2,15.5388971777377
"869","In Compliance","3","20016",1954,"Multifamily Housing","Multifamily Housing",92070,92070,5043.4,"Whole Building","Whole Building",580627.5,48814.74585,68,74.5,74.5,123.2,123.2,486.5,5.3,6859215,15.7411035616674
"870","In Compliance","2","20036",1985,"Office","Office",61506,57523,1535.5,"Whole Building","Whole Building",844493,NA,81,50.1,49.6,157.3,155.7,330.4,5.7,2881902.3,14.8739611548976
"871","Data under review by DOEE","6","20001",2004,"Mixed Use Property","Other",234070,200034,23075.4,"Whole Building","Whole Building",3681034,70644.91779,NA,98.1,102,234.2,238.4,1815.6,9.1,19623335.4,16.7922299976531
"872","In Compliance","2","20052",1939,"College/University","College/University",180283,455730,8581.5,"Whole Building","Whole Building",6480163.5,160224.727,NA,84.4,86.2,190,191.9,3412.5,7.5,38463612,17.4652232094717
"873","In Compliance","2","20052",1939,"Museum","Museum",180283,52085,3225.7,"Another configuration","Another configuration",NA,591.7611964,NA,1.1,1.1,1.2,1.2,3.1,0.1,57293.5,10.9559424582229
"874","In Compliance","5","20018",1000,"Other","Other",50000,50000,207.4,"Whole Building","Whole Building",82588,12945.99917,NA,31.5,34.2,44.9,47.4,100,2,1575000,14.2697658302419
"875","In Compliance","6","20003",2013,"Multifamily Housing","Multifamily Housing",135000,135000,3579,"Whole Building","Whole Building",1224143,12338.00015,89,40.1,40.8,106.7,107.8,544.5,4,5413500,15.5044063917331
"876","In Compliance","7","20020",1000,"Other - Recreation","Other - Recreation",13555,13555,562.5,"Whole Building","Whole Building",348805,NA,NA,87.8,91.5,275.7,287.2,132,9.7,1190129,13.9895722625738
"877","In Compliance","8","20032",1912,"Other - Public Services","Other - Public Services",10248,10248,5847.8,"Whole Building","Whole Building",134120,4555.000022,NA,89.1,92.4,186.9,188.5,75,7.3,913096.8,13.7245971780533
"878","In Compliance","3","20008",1930,"Other - Public Services","Other - Public Services",11934,11934,3379,"Whole Building","Combination of common and tenant areas",116266,4010.999954,NA,66.9,69.2,139.7,140.4,65.3,5.5,798384.6,13.5903457152162
"879","In Compliance","5","20002",1000,"Other - Public Services","Other - Public Services",15913,15913,1452,"Whole Building","Whole Building",309513,4486.000004,NA,94.6,97.5,238,241.1,141,8.9,1505369.8,14.224549140268
"880","In Compliance","2","20009",1966,"Other - Public Services","Other - Public Services",10476,10476,2755.8,"Whole Building","Whole Building",151601,5533.0003,NA,102.2,105.1,210.5,211.1,86.8,8.3,1070647.2,13.8837738833972
"881","In Compliance","5","20011",2005,"Other - Public Services","Fire Station",16442,16442,2528,"Whole Building","Whole Building",62233,4949.000005,NA,43,46.6,72.2,75.9,49.8,3,707006,13.4687944314056
"882","In Compliance","6","20003",2008,"Multifamily Housing","Multifamily Housing",281205,277005,7925.9,"Whole Building","Whole Building",2941178,NA,67,36.2,36.2,113.8,113.8,1150.8,4.2,10027581,16.1208499543798
"883","In Compliance","6","20003",2008,"Multifamily Housing","Multifamily Housing",467843,460453,12874.6,"Whole Building","Whole Building",5488022,NA,56,40.7,40.7,127.7,127.7,2147.4,4.7,18740437.1,16.7461941589422
"884","In Compliance","2","20005",2002,"Multifamily Housing","Multifamily Housing",281191,237796,9699.5,"Whole Building","Whole Building",1935901,39966.57766,86,44.6,45.2,104.9,104.7,969.8,4.1,10605701.6,16.1769023012655
"885","In Compliance","5","20002",1965,"Multifamily Housing","Multifamily Housing",38320,38320,4977.5,"Whole Building","Whole Building",391004,40212.99949,7,139.8,143.6,219.5,222.4,361.6,9.4,5357136,15.4939400618845
"886","In Compliance","8","20032",2014,"K-12 School","K-12 School",356000,356000,9157.2,"Whole Building","Whole Building",3869187,114608.556,74,69.3,NA,147,NA,2073.2,5.8,24670800,17.02113091603
"888","In Compliance","5","20011-4959",1965,"Multifamily Housing","Multifamily Housing",55000,55000,3553.7,"Whole Building","Whole Building",417895,35099.10724,52,89.7,91.6,148.4,148.2,349.9,6.4,4933500,15.4115592332794
"889","In Compliance","2","20009",2013,"Multifamily Housing","Multifamily Housing",113923,113923,5477.2,"Whole Building","Whole Building",1561070,2448.891383,56,48.9,48.9,149.1,149.1,623.8,5.5,5570834.7,15.5330554570496
"890","In Compliance","2","20037",2000,"Hotel","Hotel",81833,81833,7215.9,"Whole Building","Whole Building",1255840,18303.95623,62,74.7,74.6,187.9,186.6,588.6,7.2,6112925.1,15.6259159563593
"891","In Compliance","3","20008",1989,"Multifamily Housing","Multifamily Housing",534424,187490,6221.1,"Whole Building","Whole Building",2349042,NA,38,42.7,42.7,134.2,134.2,919.1,4.9,8005823,15.8956797098716
"892","In Compliance","3","20008",1941,"Multifamily Housing","Multifamily Housing",187490,264562,7202.2,"Whole Building","Whole Building",1685393,85145.22946,NA,53.9,55.1,102,101.9,1111.7,4.2,14259891.8,16.4729613852639
"893","In Compliance","2","20005",1986,"Office","Office",211501,177000,2773.1,"Whole Building","Whole Building",3212310,NA,77,61.9,61.9,194.4,194.4,1256.9,7.1,10956300,16.2094251912465
"894","In Compliance","2","20004",1991,"Multifamily Housing","Multifamily Housing",645481,507385,20555.5,"Whole Building","Whole Building",9503548,55227.92777,4,74.8,74.8,212.1,212.1,4012,7.9,37952398,17.4518432482154
"895","In Compliance","2","20036",1958,"Office","Office",89635,95981,1116.1,"Whole Building","Whole Building",901122.9,13379.17298,93,46,47.2,115.2,116,423.7,4.4,4415126,15.3005469306843
"896","In Compliance","2","20009",1963,"Office","Office",113302,84894,1165.9,"Whole Building","Whole Building",1515478,23142.23107,54,88.2,87.5,219.9,214.3,715.9,8.4,7487650.8,15.8287656614368
"897","In Compliance","7","20019",1000,"Other - Lodging/Residential","Other - Lodging/Residential",20000,20000,207.4,"Whole Building","Whole Building",218085,NA,NA,37.2,38.2,116.8,120,82.5,4.1,744000,13.5197963138152
"898","In Compliance","2","20005",1953,"Office","Office",99360,80488,1199.5,"Whole Building","Whole Building",923598.7,11822.40005,92,53.8,54.7,138.4,137.7,424.2,5.3,4330254.4,15.2811368511396
"899","In Compliance","2","20006",1960,"Medical Office","Medical Office",60361,54854,2622.2,"Whole Building","Whole Building",1071331,8576.879579,67,82.3,81.6,225.7,221.4,464.8,8.5,4514484.2,15.3228014968897
"900","In Compliance","2","20005",1927,"Office","Office",228254,226727.7,3884.7,"Whole Building","Whole Building",3913552,NA,78,58.9,58.5,184.9,183.6,1531.3,6.8,13354261.53,16.4073461076024
"901","In Compliance","2","20036",1903,"Worship Facility","Worship Facility",58701,60000,188.6,"Whole Building","Whole Building",254990.3,16227.90955,67,41.5,44.8,73.9,77.4,186,3.1,2490000,14.7277932684409
"902","In Compliance","2","20036",1914,"Multifamily Housing","Multifamily Housing",54900,59544,339.8,"Whole Building","Whole Building",189031,31893.81897,83,64.4,59.8,90.3,83.9,243.4,4.1,3834633.6,15.1595844471501
"903","In Compliance","2","20007",1928,"Residence Hall/Dormitory","Residence Hall/Dormitory",238595,209093,10053,"Whole Building","Whole Building",2541322,NA,36,111.3,113.2,214.2,215.5,1963.4,9.4,23272050.9,16.9627636663325
"904","In Compliance","1","20008",1963,"Multifamily Housing","Multifamily Housing",60518,75000,3905.4,"Whole Building","Whole Building",418345,35932.57676,84,66.9,68.7,110.1,112,354.5,4.7,5017500,15.4284423596526
"905","In Compliance","2","20037",1959,"Multifamily Housing","Multifamily Housing",71934,72000,3560,"Whole Building","Whole Building",526048.6,42103.87804,55,83.4,85.1,139.7,139.8,429.5,6,6004800,15.6080697073629
"906","In Compliance","3","20015",1963,"Multifamily Housing","Multifamily Housing",71469,71469,475.3,"Whole Building","Whole Building",501730.6,30296.83,60,66.3,67.1,119.7,118.5,357.2,5,4738394.7,15.3712089654232
"907","In Compliance","2","20005",1964,"Multifamily Housing","Multifamily Housing",95656,95656,3411.3,"Whole Building","Whole Building",680494.9,42114.23269,76,68.3,68.7,122.4,119,490,5.1,6533304.8,15.6924234681762
"908","In Compliance","4","20011",1932,"Multifamily Housing","Multifamily Housing",66224,66218,5770.5,"Whole Building","Whole Building",291055.5,35634.89244,77,68.8,70.7,103.6,104.6,303.2,4.6,4555798.4,15.3319113532287
"909","In Compliance","5","20017",1917,"Residence Hall/Dormitory","Residence Hall/Dormitory",56455,56453,1023509.3,"Whole Building","Whole Building",150301.7,24048.45965,NA,51.7,53.9,73.3,75.5,186.5,3.3,2918620.1,14.8866214940556
"910","In Compliance","2","20036",1968,"Office","Office",59660,51424,107.5,"Whole Building","Whole Building",663879.6,26403.44317,39,95.4,91.8,192.2,188.5,400,7.8,4905849.6,15.4059388469915
"911","In Compliance","2","20006",1964,"Office","Office",132548,117042,2033146.7,"Whole Building","Whole Building",1483883,37020.88007,83,74.9,77.1,169,169.9,777.3,6.6,8766445.8,15.9864420142462
"912","In Compliance","1","20009",2003,"Multifamily Housing","Multifamily Housing",60766,60766,3733.9,"Whole Building","Whole Building",579052,NA,90,32.5,32.5,102.1,102.1,226.6,3.7,1974895,14.4960257903471
"913","In Compliance","1","20010",2007,"Multifamily Housing","Multifamily Housing",66290,66640,2237.6,"Whole Building","Whole Building",667812,1131.376211,46,35.9,36,109.1,109.3,267.3,4,2392376,14.687797572335
"914","In Compliance","7","20020",1935,"K-12 School","K-12 School",247900,247900,7272.2,"Whole Building","Whole Building",3049071.9,58795.99694,50,65.7,NA,155.4,NA,1466.4,5.9,16287030,16.6058796435138
"915","In Compliance","6","20002",1976,"Multifamily Housing","Multifamily Housing",94098,94098,6160.9,"Whole Building","Whole Building",845937.7,NA,NA,30.7,29.6,96.3,93,331,3.5,2888808.6,14.8763547259556
"916","In Compliance","5","20008",1983,"Multifamily Housing","Multifamily Housing",55860,55860,3766.3,"Whole Building","Whole Building",1030469,NA,NA,62.9,61,197.6,191.7,403.2,7.2,3513594,15.0721500032056
"917","In Compliance","1","20009",1983,"Multifamily Housing","Multifamily Housing",71013,71013,5190.6,"Whole Building","Whole Building",1127569,NA,NA,54.2,52.4,170.1,164.6,441.2,6.2,3848904.6,15.1632991463001
"918","In Compliance","1","20009",1983,"Multifamily Housing","Multifamily Housing",173751,173751,9813.2,"Whole Building","Whole Building",2209045,49963.45573,2,72.1,73.5,166.4,167.8,1129.7,6.5,12527447.1,16.3434325630971
"919","In Compliance","2","20006",1989,"Multifamily Housing","Multifamily Housing",56608,112000,5257.6,"Whole Building","Whole Building",679800,26847.38724,89,44.7,45.2,90.2,88.9,408.6,3.6,5006400,15.4262276518968
"920","In Compliance","1","20009",1970,"Multifamily Housing","Multifamily Housing",91382,91382,2611.2,"Whole Building","Whole Building",480071,38137.70461,NA,59.7,60.9,100.1,100,390.4,4.3,5455505.4,15.5121358219036
"921","In Compliance","5","20002",1962,"Hotel","Hotel",95331,95331,16152.7,"Whole Building","Whole Building",1791395,48881.73098,99,115.4,116.7,255.2,257.1,960.6,10.1,11001197.4,16.2135146793839
"922","In Compliance","2","20007",1885,"K-12 School","K-12 School",41329,41329,339.8,"Whole Building","Whole Building",292405,4090.000218,NA,34,34.6,86.2,86,132.4,3.2,1405186,14.1556802363296
"923","In Compliance","6","20001",1995,"Hotel","Hotel",55820,1e+05,5220.4,"Whole Building","Whole Building",1766465,38235.35585,55,98.5,99.4,229.4,228.5,894.3,8.9,9850000,16.1029820131483
"924","In Compliance","2","20005",1936,"Office","Office",87574,78495,769.2,"Whole Building","Whole Building",859878.3,10317.74589,89,50.5,51.4,131.2,130.9,391.3,5,3963997.5,15.1927635437557
"925","In Compliance","6","20001",2013,"Multifamily Housing","Multifamily Housing",229047,277121,9772.3,"Whole Building","Whole Building",2742471,29565.98742,61,44.4,44.2,117.2,115.8,1230.1,4.4,12304172.4,16.3254489823329
"926","In Compliance","2","20005",1908,"Office","Office",51761,51761,270.3,"Whole Building","Whole Building",649516.3,16100.0574,56,73.9,75,167.1,166.7,339.7,6.6,3825137.9,15.1571050768805
"928","In Compliance","3","20015",1928,"K-12 School","K-12 School",83290,83290,152.4,"Whole Building","Whole Building",1094890,17465.72559,40,65.8,66,162.9,160.4,521.2,6.3,5480482,15.5167036112607
"929","In Compliance","1","20001",2011,"Office","Office",106080,98425,1760.6,"Whole Building","Whole Building",2095082,NA,46,72.6,72,228.1,226,819.8,8.3,7145655,15.7820150376427
"930","In Compliance","2","20001-3710",1999,"Office","Office",61006,62466,277.1,"Whole Building","Whole Building",819474.2,NA,84,44.8,44.8,140.5,140.5,320.6,5.1,2798476.8,14.8445858271237
"931","In Compliance","2","20004",1912,"Office","Office",64850,61320,1438831.4,"Whole Building","Whole Building",881303.8,1700.799967,86,51.8,51.8,156.9,156.9,353.9,5.8,3176376,14.9712514822512
"932","In Compliance","2","20037",1980,"Medical Office","Medical Office",68405,62404,1211.1,"Whole Building","Whole Building",1426072,NA,11,78,77.8,244.8,244.2,558,8.9,4867512,15.3980934815567
"933","In Compliance","1","20009",1917,"Multifamily Housing","Multifamily Housing",78600,78600,2792.7,"Whole Building","Whole Building",502833.2,41636.14042,67,74.8,76.3,124.2,123.4,417.9,5.3,5879280,15.5869448633977
"934","In Compliance","2","20005",1903,"Office","Office",54705,54700,989.7,"Whole Building","Whole Building",870135.5,NA,71,54.3,54.3,170.4,170.4,340.5,6.2,2970210,14.90414321535
"936","In Compliance","2","20006",1977,"Office","Office",68634,63510,1129.2,"Whole Building","Whole Building",1618885,39.1875026,40,87,87,273.2,273.2,633.7,10,5525370,15.5248607714516
"937","In Compliance","1","20009",1950,"Multifamily Housing","Multifamily Housing",64536,64536,2601.8,"Whole Building","Whole Building",429262.6,26952.70773,NA,64.5,66.4,115.1,117.2,311.1,4.8,4162572,15.2416437104185
"938","In Compliance","2","20005",1984,"Office","Office",66909,51153,870.9,"Whole Building","Whole Building",1446436,NA,18,96.5,98.4,302.9,308.9,566,11.1,4936264.5,15.4121194290312
"939","In Compliance","2","20006",1959,"Office","Office",83495,79495,1132420.4,"Whole Building","Whole Building",909550.9,4421.79996,92,44.6,44.2,128.4,125.8,379.4,4.8,3545477,15.0811832646088
"940","In Compliance","2","20005",1978,"Office","Office",64580,58020,2705.1,"Whole Building","Whole Building",1413049,NA,NA,83.1,83.1,260.9,260.9,552.9,9.5,4821462,15.3885877595368
"941","In Compliance","2","20005",1905,"Office","Office",51431,51400,1868,"Whole Building","Whole Building",427586.7,8932.956159,93,45.8,46.6,107.4,106.3,214.8,4.2,2354120,14.6716775425634
"942","In Compliance","2","20001",2003,"Multifamily Housing","Multifamily Housing",382614,407710,15193.1,"Whole Building","Whole Building",3267440,104489.059,86,53,52.5,112.8,109.5,1833.5,4.5,21608630,16.8886033298978
"943","In Compliance","6","20001",2009,"K-12 School","K-12 School",122200,122200,5371.9,"Whole Building","Whole Building",2089317,60997.99916,11,108.3,109,235.6,233.2,1114.8,9.1,13234260,16.3983194797266
"944","In Compliance","6","20003",1888,"Other - Public Services","Other - Public Services",12316,12316,339.8,"Whole Building","Whole Building",157351,4067.999955,NA,76.6,78.2,171.6,171.6,81.2,6.6,943405.6,13.7572515857909
"945","In Compliance","2","20036",1939,"Multifamily Housing","Multifamily Housing",62164,62164,3695,"Whole Building","Whole Building",344500.9,34463.27917,90,74.3,76.6,117.6,118.8,317.8,5.1,4618785.2,15.3456422847592
"946","In Compliance","3","20007",1943,"Multifamily Housing","Multifamily Housing",50880,50880,1806.2,"Whole Building","Whole Building",481959.8,38223.7362,24,107.4,109.2,180.4,178.2,391.6,7.7,5464512,15.5137853800888
"947","In Compliance","6","20024",1875,"Residence Hall/Dormitory","Residence Hall/Dormitory",59784,59784,3308.6,"Whole Building","Whole Building",503040,29235.86993,48,77.6,81.1,141.5,142.2,352.1,5.9,4639238.4,15.3500607727993
"948","In Compliance","2","20005",1964,"Office","Office",90458,74898,1915.3,"Whole Building","Whole Building",1456385,NA,58,66.3,65.6,208.3,205.9,569.9,7.6,4965737.4,15.4180723640709
"949","In Compliance","2","20005",1964,"Office","Office",96481,67935,923.4,"Whole Building","Whole Building",938156.1,14152.38719,71,68,66.7,169.8,167.3,442.3,6.5,4619580,15.3458143498345
"950","In Compliance","2","20004",1887,"Office","Office",58916,41619,178.7,"Whole Building","Whole Building",614038.2,12788.72187,50,81.1,82.9,190.3,189.3,308.2,7.4,3375300.9,15.0319950338702
"951","In Compliance","6","20001",2012,"Residence Hall/Dormitory","Other",11370,11370,42,"Whole Building","Whole Building",210195,918.000039,NA,71.2,71.4,206.5,206.8,84.4,7.4,809544,13.6042264051625
"952","In Compliance","4","20012",1965,"Multifamily Housing","Multifamily Housing",59616,59616,5566.6,"Whole Building","Whole Building",623818.5,39767.10941,26,102.4,103.9,182.1,182,455.3,7.6,6104678.4,15.6245659860067
"953","In Compliance","4","20011",1948,"Multifamily Housing","Multifamily Housing",69228,55280,3401.8,"Whole Building","Whole Building",293372,34266.79971,51,80.1,82.5,121.9,123.4,296.8,5.4,4427928,15.3034423125159
"954","Data under review by DOEE","3","20016",1985,"Office","Office",61217,74350,520.1,"Whole Building","Whole Building",400849.8,5545.325832,NA,25.9,26.6,65.6,66.4,186.3,2.5,1925665,14.4707819205938
"955","In Compliance","1","20009",1912,"Other - Public Services","Other - Public Services",12800,12800,989.7,"Whole Building","Whole Building",169213,4580.999972,NA,80.9,82.4,179.2,177.4,88.4,6.9,1035520,13.8504142739722
"956","In Compliance","5","20002",1929,"Other - Public Services","Other - Public Services",13100,13100,76.2,"Whole Building","Whole Building",167392,5143.999815,NA,82.9,85.8,178.1,180.2,90.7,6.9,1085990,13.8980025713305
"957","In Compliance","3","20008",1964,"Hotel","Hotel",76016,76016,6406,"Whole Building","Whole Building",1175807,NA,76,52.8,52.3,165.7,164.1,460.1,6.1,4013644.8,15.2052103141389
"958","In Compliance","2","20006",1941,"Multifamily Housing","Multifamily Housing",66528,66528,5034.4,"Whole Building","Whole Building",617857,35200.2492,59,84.6,85.7,155.1,151.9,428.7,6.4,5628268.8,15.5433124572699
"959","In Compliance","6","20001",1980,"Multifamily Housing","Multifamily Housing",65144,63444,2831.9,"Whole Building","Whole Building",602168,9801.856968,58,47.8,48.2,117.9,118.2,287.7,4.5,3032623.2,14.9249385455209
"960","In Compliance","1","20009",1950,"Multifamily Housing","Multifamily Housing",65266,63170,1137.5,"Whole Building","Whole Building",369716.2,26317.59723,91,61.6,63,106.4,106.6,284.5,4.5,3891272,15.1742466544322
"962","In Compliance","5","20017",1942,"K-12 School","K-12 School",70768,142305,1198.3,"Whole Building","Whole Building",1126423,50762.96289,NA,62.7,64.7,122.3,123.7,710.4,5,8922523.5,16.004089368134
"963","In Compliance","1","20009",1927,"Multifamily Housing","Multifamily Housing",81056,72968,1837.1,"Whole Building","Whole Building",453877.6,38009.20458,74,73.3,74.9,121.3,121.7,379.5,5.2,5348554.4,15.4923368767526
"964","In Compliance","1","20009",1940,"Multifamily Housing","Multifamily Housing",68453,58745,2264.8,"Whole Building","Whole Building",291912.6,27692.94522,87,64.1,65.9,102.7,103.5,261.3,4.4,3765554.5,15.1414056859283
"965","In Compliance","2","20008",1941,"Multifamily Housing","Multifamily Housing",76594,65964,3796.7,"Whole Building","Whole Building",400294.6,72415.08327,23,130.5,135.2,180.3,184,541.3,8.2,8608302,15.9682376444114
"966","In Compliance","1","20009",1926,"Multifamily Housing","Multifamily Housing",63431,62455,2216.1,"Whole Building","Whole Building",335457.4,35590.79816,74,75.3,77.6,117.4,118.4,320.3,5.1,4702861.5,15.3636817112059
"967","In Compliance","1","20010",2012,"Multifamily Housing","Multifamily Housing",83783,98174,2815.3,"Whole Building","Whole Building",676351,21733.30025,80,45.6,46.2,97.1,96.8,380.1,3.9,4476734.4,15.3144044100221
"968","In Compliance","1","20009",1926,"Multifamily Housing","Multifamily Housing",64319,63000,540.1,"Whole Building","Whole Building",292772.8,26523.85675,93,58,60,94,94.9,255.4,4.1,3654000,15.1113330159201
"969","In Compliance","4","20011",1929,"Multifamily Housing","Multifamily Housing",67110,67104,2927.2,"Whole Building","Whole Building",574275.2,28563.75612,48,71.8,73.3,136.4,136.9,376.4,5.6,4818067.2,15.3878834097558
"970","In Compliance","3","20015",1954,"Multifamily Housing","Multifamily Housing",53410,50153,2288.6,"Whole Building","Whole Building",411244.1,24015.09244,58,75.9,77.3,138.1,138.2,288.5,5.8,3806612.7,15.1522502965409
"971","In Compliance","7","20020",1963,"Multifamily Housing","Multifamily Housing",81324,81324,4135,"Whole Building","Whole Building",634403.5,37555.20551,40,72.8,74,132.1,131.2,447.7,5.5,5920387.2,15.5939124101268
"972","In Compliance","2","20008-1811",1927,"Multifamily Housing","Multifamily Housing",54144,54144,1878.5,"Whole Building","Whole Building",517495,2657.161711,78,37.5,37.5,107.6,107.6,216.6,4,2030400,14.5237433759423
"973","In Compliance","2","20037",2005,"Multifamily Housing","Multifamily Housing",112894,112894,4554.5,"Whole Building","Whole Building",658252,38115.99956,91,53.7,54,97.9,96.9,460,4.1,6062407.8,15.6176176058648
"974","In Compliance","5","20002",1937,"Multifamily Housing","Multifamily Housing",183854,183854,18142.5,"Whole Building","Whole Building",1842108,151210.0001,43,116.4,120.5,193.7,198,1500.4,8.2,21400605.6,16.8789297786571
"975","In Compliance","2","20036",2012,"Multifamily Housing","Multifamily Housing",165495,165495,1985.8,"Whole Building","Whole Building",1309784,9141.624755,64,32.5,32.9,90.6,91,561.1,3.4,5378587.5,15.4979363511982
"976","In Compliance","2","20001",2002,"Multifamily Housing","Multifamily Housing",233968,233968,7512.4,"Whole Building","Whole Building",2231815,58327.99821,50,57.5,57.3,128.4,126.3,1183.1,5.1,13453160,16.414724580655
"978","In Compliance","3","20016",1982,"Multifamily Housing","Multifamily Housing",282226,358569,16068.3,"Whole Building","Whole Building",3861070,54774.00054,44,52,52.5,131.4,131.9,1801.7,5,18645588,16.7411201077028
"979","In Compliance","6","20002",2012,"Multifamily Housing","Multifamily Housing",94800,118955,3444.9,"Whole Building","Whole Building",1812042,2054.000012,33,53.7,53.7,165,165,719.9,6.1,6387883.5,15.6699135508308
"980","In Compliance","2","20006",1925,"Hotel","Hotel",59746,59746,3654.6,"Whole Building","Whole Building",1019041,20991.02157,60,93.3,93.4,219.6,217.3,510.2,8.5,5574301.8,15.5336776297994
"981","In Compliance","2","20009",2001,"Multifamily Housing","Multifamily Housing",68688,68680,1471.1,"Whole Building","Whole Building",413269,24941.80646,91,56.8,57.4,102.6,100.9,294.2,4.3,3901024,15.1767496407385
"982","In Compliance","8","20032",2005,"Senior Care Community","Senior Care Community",69742,69740,2013.2,"Whole Building","Whole Building",245560,983.049133,NA,13.4,13.2,39.2,38.1,101.3,1.5,934516,13.7477840271865
